Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Composure,Crossing,Curve,Dribbling,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
Sokratis,Greece,Borussia Dortmund,CB ,29,1885,71.0,91.0,62.0,82.0,47.0,36.0,58.0,35.0,87.0,80.0,87.0,64.0,48.0,88.0,33.0,50.0,81.0,64.0,79.0,86.0,84.0,74.0,90.0,86.0,52.0,46.0,86,86,110000.0,34500000.0
Miranda,Brazil,Inter,CB ,32,1890,67.0,83.0,61.0,84.0,48.0,32.0,65.0,39.0,83.0,88.0,82.0,69.0,41.0,89.0,49.0,43.0,82.0,70.0,70.0,86.0,74.0,65.0,90.0,80.0,58.0,51.0,86,86,115000.0,25500000.0
Pepe,Portugal,Beşiktaş JK,CB ,34,1839,65.0,94.0,63.0,77.0,46.0,44.0,58.0,47.0,80.0,86.0,76.0,61.0,56.0,86.0,57.0,40.0,83.0,70.0,63.0,87.0,70.0,62.0,86.0,84.0,48.0,23.0,86,86,94000.0,13500000.0
David Luiz,Brazil,Chelsea,CB ,30,2123,68.0,86.0,72.0,78.0,68.0,70.0,66.0,76.0,83.0,87.0,80.0,78.0,71.0,80.0,75.0,54.0,79.0,79.0,77.0,84.0,71.0,76.0,85.0,81.0,69.0,64.0,86,86,190000.0,33000000.0
T. Alderweireld,Belgium,Tottenham Hotspur,CB ,28,2047,62.0,81.0,60.0,81.0,64.0,63.0,62.0,69.0,82.0,84.0,81.0,81.0,66.0,89.0,60.0,56.0,86.0,77.0,86.0,85.0,69.0,76.0,90.0,82.0,67.0,38.0,86,87,165000.0,40500000.0
Alex Sandro,Brazil,Juventus,LM LB ,26,2207,84.0,82.0,79.0,82.0,86.0,78.0,82.0,59.0,76.0,82.0,79.0,71.0,72.0,78.0,60.0,70.0,86.0,81.0,80.0,84.0,88.0,93.0,84.0,80.0,70.0,68.0,86,88,175000.0,44000000.0
D. Alaba,Austria,FC Bayern Munich,CM CB LB ,25,2278,86.0,69.0,79.0,79.0,82.0,78.0,79.0,85.0,75.0,85.0,82.0,80.0,83.0,81.0,80.0,77.0,84.0,83.0,83.0,83.0,86.0,87.0,83.0,69.0,78.0,68.0,86,88,150000.0,44500000.0
J. Vertonghen,Belgium,Tottenham Hotspur,CB ,30,2079,68.0,83.0,62.0,81.0,68.0,58.0,69.0,73.0,81.0,86.0,83.0,74.0,68.0,84.0,68.0,60.0,82.0,79.0,86.0,86.0,66.0,79.0,86.0,81.0,68.0,52.0,85,85,130000.0,28500000.0
Jordi Alba,Spain,FC Barcelona,LB ,28,2206,93.0,75.0,90.0,75.0,82.0,77.0,80.0,64.0,63.0,83.0,81.0,70.0,66.0,81.0,59.0,77.0,82.0,79.0,64.0,83.0,93.0,90.0,84.0,60.0,68.0,60.0,85,85,215000.0,30500000.0
Filipe Luís,Brazil,Atlético Madrid,LB ,31,2134,75.0,81.0,74.0,88.0,84.0,74.0,77.0,75.0,68.0,82.0,63.0,77.0,60.0,85.0,65.0,71.0,83.0,78.0,71.0,86.0,82.0,91.0,83.0,74.0,70.0,56.0,85,85,81000.0,25000000.0
V. Kompany,Belgium,Manchester City,CB ,31,1913,61.0,87.0,60.0,81.0,61.0,61.0,63.0,52.0,84.0,80.0,71.0,66.0,55.0,84.0,63.0,41.0,84.0,72.0,75.0,84.0,64.0,74.0,85.0,88.0,59.0,46.0,85,85,170000.0,26000000.0
A. Barzagli,Italy,Juventus,CB ,36,1750,64.0,70.0,51.0,82.0,40.0,50.0,64.0,31.0,72.0,92.0,85.0,65.0,39.0,90.0,60.0,28.0,80.0,65.0,54.0,88.0,76.0,46.0,90.0,87.0,62.0,35.0,85,85,105000.0,5000000.0
Azpilicueta,Spain,Chelsea,LB RB CB ,27,2099,78.0,80.0,75.0,78.0,78.0,66.0,69.0,58.0,76.0,85.0,76.0,74.0,60.0,87.0,66.0,62.0,86.0,80.0,68.0,87.0,79.0,88.0,88.0,73.0,68.0,51.0,85,87,160000.0,37500000.0
K. Glik,Poland,AS Monaco,CB ,29,1612,53.0,86.0,34.0,79.0,29.0,35.0,51.0,26.0,85.0,87.0,82.0,59.0,20.0,85.0,39.0,24.0,79.0,63.0,57.0,83.0,58.0,72.0,87.0,90.0,23.0,17.0,85,85,60000.0,30000000.0
R. Varane,France,Real Madrid CF,CB ,24,1875,77.0,77.0,58.0,82.0,36.0,46.0,57.0,54.0,83.0,82.0,80.0,76.0,53.0,84.0,43.0,44.0,81.0,75.0,52.0,85.0,81.0,68.0,86.0,85.0,56.0,42.0,85,92,175000.0,46500000.0
Dani Alves,Brazil,Paris Saint-Germain,RB ,34,2208,79.0,78.0,85.0,82.0,86.0,80.0,84.0,74.0,72.0,81.0,80.0,77.0,78.0,73.0,70.0,74.0,79.0,83.0,86.0,83.0,84.0,76.0,79.0,55.0,78.0,68.0,84,84,115000.0,9000000.0
M. Benatia,Morocco,Juventus,CB ,30,1764,72.0,82.0,59.0,78.0,45.0,34.0,64.0,27.0,80.0,84.0,82.0,65.0,24.0,86.0,41.0,38.0,78.0,65.0,59.0,84.0,76.0,68.0,86.0,89.0,47.0,31.0,84,84,145000.0,23000000.0
L. Koscielny,France,Arsenal,CB ,31,1866,74.0,88.0,68.0,75.0,52.0,22.0,62.0,49.0,81.0,86.0,82.0,69.0,47.0,83.0,51.0,39.0,82.0,76.0,54.0,84.0,76.0,75.0,87.0,76.0,56.0,35.0,84,84,150000.0,21000000.0
G. Cahill,England,Chelsea,CB ,31,1839,62.0,84.0,62.0,75.0,28.0,48.0,58.0,27.0,86.0,83.0,82.0,61.0,66.0,84.0,53.0,45.0,85.0,65.0,63.0,84.0,63.0,69.0,85.0,80.0,56.0,47.0,84,84,160000.0,21000000.0
A. Laporte,France,Athletic Club de Bilbao,CB ,23,1919,68.0,72.0,49.0,74.0,58.0,62.0,55.0,77.0,85.0,85.0,77.0,78.0,47.0,86.0,35.0,54.0,82.0,73.0,70.0,85.0,70.0,71.0,88.0,84.0,52.0,40.0,84,89,36000.0,35500000.0
Carvajal,Spain,Real Madrid CF,RB ,25,2039,76.0,81.0,82.0,74.0,83.0,72.0,76.0,47.0,65.0,82.0,76.0,71.0,36.0,85.0,45.0,61.0,81.0,81.0,64.0,86.0,86.0,84.0,85.0,75.0,57.0,34.0,84,87,195000.0,32000000.0
E. Bailly,Ivory Coast,Manchester United,CB ,23,1890,75.0,87.0,63.0,74.0,51.0,46.0,63.0,43.0,81.0,85.0,84.0,56.0,48.0,82.0,46.0,47.0,78.0,72.0,55.0,85.0,80.0,78.0,85.0,85.0,54.0,42.0,84,89,150000.0,35500000.0
K. Koulibaly,Senegal,Napoli,CB ,26,1610,69.0,87.0,50.0,78.0,30.0,28.0,54.0,28.0,79.0,86.0,77.0,48.0,15.0,85.0,33.0,24.0,80.0,59.0,55.0,85.0,76.0,73.0,87.0,93.0,34.0,14.0,84,87,96000.0,32500000.0
K. Manolas,Greece,Roma,CB ,26,1638,78.0,86.0,68.0,75.0,27.0,30.0,54.0,10.0,80.0,85.0,86.0,61.0,12.0,88.0,26.0,25.0,81.0,60.0,43.0,87.0,81.0,78.0,86.0,84.0,22.0,16.0,84,86,96000.0,31500000.0
S. Mustafi,Germany,Arsenal,CB ,25,1942,64.0,79.0,66.0,74.0,50.0,55.0,53.0,47.0,81.0,85.0,84.0,69.0,52.0,82.0,54.0,50.0,82.0,77.0,66.0,85.0,69.0,74.0,83.0,81.0,55.0,51.0,84,86,145000.0,31500000.0
L. Piszczek,Poland,Borussia Dortmund,CB RB ,32,2143,73.0,83.0,66.0,82.0,86.0,80.0,74.0,47.0,74.0,81.0,76.0,69.0,68.0,79.0,65.0,73.0,82.0,78.0,77.0,83.0,84.0,79.0,84.0,79.0,72.0,67.0,83,83,66000.0,14500000.0
O. Toprak,Turkey,Borussia Dortmund,CB ,27,1864,72.0,73.0,64.0,78.0,49.0,44.0,64.0,33.0,83.0,84.0,82.0,69.0,36.0,86.0,48.0,35.0,81.0,74.0,63.0,82.0,79.0,68.0,85.0,78.0,59.0,55.0,83,84,66000.0,24500000.0
M. Musacchio,Argentina,Milan,CB ,26,1917,72.0,81.0,72.0,76.0,55.0,53.0,43.0,45.0,81.0,85.0,83.0,70.0,53.0,85.0,57.0,50.0,81.0,78.0,57.0,86.0,69.0,70.0,84.0,81.0,64.0,36.0,83,86,105000.0,27000000.0
A. Valencia,Ecuador,Manchester United,RB ,31,2185,88.0,83.0,75.0,82.0,85.0,69.0,82.0,66.0,64.0,80.0,70.0,69.0,62.0,78.0,55.0,75.0,86.0,77.0,85.0,77.0,87.0,90.0,83.0,85.0,71.0,71.0,83,83,130000.0,17000000.0
E. Garay,Argentina,Valencia CF,CB ,30,1952,39.0,74.0,57.0,79.0,62.0,55.0,62.0,74.0,85.0,84.0,79.0,72.0,68.0,84.0,69.0,49.0,77.0,69.0,80.0,82.0,46.0,74.0,85.0,85.0,63.0,49.0,83,83,40000.0,19000000.0
J. Mascherano,Argentina,FC Barcelona,CDM CB ,33,1984,67.0,88.0,72.0,86.0,63.0,63.0,58.0,50.0,68.0,88.0,75.0,75.0,55.0,81.0,60.0,51.0,83.0,79.0,76.0,82.0,64.0,76.0,83.0,74.0,68.0,51.0,83,83,155000.0,10500000.0
Juanfran,Spain,Atlético Madrid,RB ,32,2080,76.0,78.0,75.0,74.0,83.0,80.0,77.0,59.0,59.0,78.0,68.0,66.0,53.0,83.0,66.0,68.0,82.0,77.0,68.0,81.0,87.0,85.0,84.0,74.0,72.0,49.0,83,83,62000.0,14500000.0
L. Perrin,France,AS Saint-Étienne,CB ,31,2046,67.0,81.0,64.0,80.0,69.0,59.0,62.0,51.0,80.0,82.0,84.0,77.0,67.0,88.0,68.0,58.0,76.0,74.0,73.0,84.0,69.0,79.0,88.0,79.0,63.0,44.0,83,83,46000.0,17500000.0
B. Höwedes,Germany,Juventus,CB ,29,1862,62.0,79.0,63.0,82.0,58.0,38.0,60.0,52.0,84.0,83.0,82.0,64.0,31.0,84.0,56.0,51.0,82.0,73.0,62.0,83.0,65.0,68.0,83.0,81.0,57.0,38.0,83,83,50000.0,20000000.0
K. Walker,England,Manchester City,RWB RB ,27,2164,86.0,78.0,70.0,75.0,78.0,76.0,77.0,71.0,73.0,78.0,83.0,67.0,68.0,79.0,63.0,66.0,81.0,75.0,86.0,83.0,93.0,90.0,84.0,77.0,69.0,57.0,83,84,130000.0,24000000.0
V. van Dijk,Netherlands,Southampton,CB ,25,2011,69.0,78.0,57.0,82.0,53.0,60.0,70.0,70.0,80.0,83.0,79.0,76.0,64.0,83.0,62.0,41.0,79.0,76.0,81.0,83.0,76.0,76.0,85.0,92.0,59.0,45.0,83,86,89000.0,27500000.0
S. Umtiti,France,FC Barcelona,CB ,23,2109,72.0,80.0,68.0,74.0,69.0,72.0,69.0,63.0,72.0,86.0,87.0,73.0,74.0,80.0,61.0,58.0,77.0,79.0,83.0,83.0,75.0,79.0,85.0,78.0,58.0,70.0,83,88,135000.0,29500000.0
Marquinhos,Brazil,Paris Saint-Germain,CB ,23,1869,69.0,80.0,66.0,79.0,72.0,49.0,65.0,32.0,80.0,84.0,85.0,78.0,35.0,85.0,31.0,46.0,81.0,80.0,53.0,86.0,72.0,75.0,85.0,74.0,51.0,31.0,83,89,75000.0,30500000.0
N. Süle,Germany,FC Bayern Munich,CB ,21,1630,51.0,81.0,33.0,72.0,30.0,28.0,42.0,30.0,85.0,82.0,38.0,61.0,62.0,81.0,32.0,26.0,80.0,76.0,77.0,82.0,76.0,65.0,86.0,94.0,30.0,29.0,83,89,78000.0,30500000.0
J. Giménez,Uruguay,Atlético Madrid,CB ,22,1760,68.0,89.0,57.0,73.0,47.0,36.0,47.0,44.0,79.0,85.0,90.0,58.0,48.0,85.0,38.0,24.0,76.0,68.0,72.0,87.0,72.0,68.0,86.0,84.0,27.0,30.0,83,87,53000.0,28500000.0
Danilo Pereira,Portugal,FC Porto,CM CB CDM ,25,2029,67.0,88.0,58.0,84.0,50.0,48.0,76.0,53.0,76.0,85.0,67.0,79.0,64.0,80.0,52.0,69.0,76.0,82.0,77.0,78.0,68.0,87.0,85.0,89.0,69.0,55.0,83,86,18000.0,27500000.0
N. Otamendi,Argentina,Manchester City,CB ,29,1886,62.0,90.0,69.0,84.0,52.0,50.0,41.0,39.0,83.0,85.0,86.0,66.0,56.0,81.0,44.0,49.0,78.0,71.0,69.0,84.0,64.0,76.0,83.0,80.0,45.0,56.0,83,83,140000.0,20000000.0
J. Matip,Cameroon,Liverpool,CB ,25,1884,60.0,81.0,58.0,75.0,54.0,63.0,65.0,22.0,85.0,85.0,67.0,74.0,48.0,83.0,42.0,51.0,81.0,77.0,66.0,79.0,73.0,73.0,85.0,81.0,72.0,50.0,83,85,110000.0,26500000.0
S. de Vrij,Netherlands,Lazio,CB ,25,1783,68.0,74.0,61.0,82.0,49.0,45.0,61.0,16.0,78.0,85.0,71.0,71.0,60.0,87.0,41.0,32.0,78.0,71.0,65.0,82.0,68.0,69.0,86.0,80.0,50.0,27.0,83,88,56000.0,29000000.0
F. Fazio,Argentina,Roma,CB ,30,1611,31.0,84.0,29.0,83.0,44.0,46.0,48.0,37.0,89.0,83.0,40.0,62.0,26.0,85.0,33.0,32.0,82.0,64.0,63.0,79.0,30.0,69.0,84.0,90.0,47.0,35.0,82,82,73000.0,16500000.0
V. Ćorluka,Croatia,Lokomotiv Moscow,CB ,31,1922,49.0,81.0,57.0,78.0,68.0,69.0,65.0,60.0,83.0,77.0,86.0,72.0,53.0,83.0,49.0,45.0,77.0,70.0,64.0,82.0,65.0,80.0,83.0,84.0,60.0,38.0,82,82,54000.0,15000000.0
B. Ivanović,Serbia,Zenit St. Petersburg,RB CB ,33,1984,63.0,86.0,57.0,81.0,72.0,70.0,58.0,48.0,84.0,79.0,83.0,74.0,62.0,83.0,58.0,61.0,76.0,71.0,73.0,81.0,61.0,78.0,81.0,85.0,57.0,48.0,82,82,73000.0,9000000.0
S. Lichtsteiner,Switzerland,Juventus,RM RB ,33,2072,76.0,82.0,77.0,80.0,82.0,68.0,76.0,66.0,72.0,82.0,75.0,71.0,70.0,78.0,64.0,66.0,82.0,77.0,74.0,82.0,78.0,83.0,82.0,72.0,62.0,62.0,82,82,115000.0,8500000.0
Fernandinho,Brazil,Manchester City,RB CM CDM ,32,2150,73.0,86.0,77.0,73.0,68.0,70.0,77.0,71.0,55.0,85.0,72.0,79.0,78.0,72.0,61.0,68.0,82.0,82.0,83.0,77.0,73.0,80.0,83.0,75.0,75.0,74.0,82,82,130000.0,12500000.0
N. Clyne,England,Liverpool,RB ,26,2057,82.0,76.0,83.0,75.0,79.0,64.0,76.0,39.0,67.0,79.0,69.0,67.0,69.0,81.0,46.0,72.0,76.0,77.0,74.0,86.0,83.0,87.0,83.0,71.0,64.0,45.0,82,84,115000.0,22000000.0
Raúl Albiol,Spain,Napoli,CB ,31,1737,57.0,79.0,53.0,73.0,38.0,53.0,54.0,45.0,77.0,83.0,77.0,65.0,53.0,85.0,37.0,30.0,80.0,71.0,65.0,83.0,57.0,62.0,85.0,82.0,49.0,31.0,82,82,73000.0,15000000.0
L. Baines,England,Everton,LB ,32,2211,73.0,74.0,74.0,81.0,86.0,81.0,78.0,82.0,74.0,80.0,71.0,74.0,75.0,81.0,90.0,73.0,83.0,81.0,84.0,79.0,68.0,81.0,81.0,64.0,76.0,63.0,82,82,115000.0,12500000.0
A. Williams,Wales,Everton,CB ,32,1759,62.0,83.0,58.0,73.0,32.0,34.0,57.0,23.0,78.0,82.0,82.0,74.0,40.0,80.0,45.0,28.0,80.0,71.0,64.0,80.0,67.0,70.0,84.0,86.0,53.0,34.0,82,82,115000.0,12500000.0
D. Rose,England,Tottenham Hotspur,LWB LB ,26,2117,80.0,87.0,73.0,73.0,81.0,64.0,79.0,57.0,62.0,81.0,75.0,66.0,69.0,82.0,57.0,68.0,82.0,76.0,72.0,85.0,81.0,81.0,84.0,74.0,73.0,64.0,82,83,99000.0,21000000.0
Naldo,Brazil,FC Schalke 04,CB ,34,1949,67.0,71.0,50.0,84.0,45.0,52.0,60.0,76.0,91.0,83.0,41.0,70.0,81.0,80.0,60.0,53.0,82.0,72.0,92.0,84.0,70.0,62.0,85.0,82.0,59.0,60.0,82,82,48000.0,6500000.0
Felipe,Brazil,FC Porto,CB ,28,1799,65.0,84.0,63.0,74.0,45.0,32.0,57.0,30.0,82.0,83.0,92.0,70.0,41.0,82.0,47.0,34.0,77.0,75.0,46.0,79.0,70.0,83.0,84.0,78.0,50.0,40.0,82,82,20000.0,18000000.0
A. Rüdiger,Germany,Chelsea,RB CB ,24,1838,73.0,89.0,63.0,73.0,68.0,34.0,59.0,56.0,78.0,79.0,74.0,65.0,40.0,82.0,40.0,33.0,82.0,70.0,70.0,81.0,75.0,65.0,84.0,83.0,57.0,34.0,82,86,105000.0,24500000.0
J. Tah,Germany,Bayer 04 Leverkusen,CB ,21,1651,64.0,70.0,48.0,70.0,35.0,30.0,55.0,27.0,80.0,80.0,71.0,69.0,25.0,82.0,38.0,27.0,81.0,74.0,44.0,80.0,78.0,60.0,86.0,91.0,61.0,24.0,82,88,47000.0,26000000.0
S. Savić,Montenegro,Atlético Madrid,CB ,26,1692,60.0,83.0,60.0,75.0,35.0,34.0,47.0,28.0,81.0,84.0,85.0,69.0,31.0,85.0,37.0,29.0,78.0,67.0,43.0,84.0,65.0,60.0,82.0,77.0,41.0,27.0,82,86,62000.0,24000000.0
Víctor Ruíz,Spain,Villarreal CF,CB ,28,1833,54.0,82.0,56.0,72.0,54.0,67.0,53.0,46.0,77.0,83.0,78.0,70.0,38.0,83.0,46.0,39.0,77.0,75.0,59.0,85.0,61.0,74.0,84.0,85.0,56.0,39.0,82,83,43000.0,20000000.0
G. Medel,Chile,Beşiktaş JK,CB CDM ,29,2013,74.0,89.0,78.0,78.0,55.0,35.0,63.0,45.0,68.0,86.0,92.0,76.0,59.0,78.0,62.0,58.0,80.0,78.0,65.0,82.0,74.0,84.0,84.0,76.0,72.0,61.0,82,82,64000.0,17000000.0
F. Acerbi,Italy,Sassuolo,CB ,29,1815,65.0,73.0,33.0,83.0,25.0,62.0,57.0,56.0,77.0,84.0,68.0,75.0,60.0,86.0,72.0,20.0,83.0,70.0,75.0,85.0,60.0,69.0,86.0,84.0,59.0,39.0,82,82,68000.0,17000000.0
M. Rojo,Argentina,Manchester United,LB CB ,27,2045,70.0,92.0,72.0,74.0,75.0,67.0,67.0,57.0,82.0,80.0,85.0,73.0,63.0,79.0,64.0,57.0,77.0,72.0,79.0,80.0,71.0,79.0,82.0,82.0,57.0,49.0,82,83,130000.0,21000000.0
A. Florenzi,Italy,Roma,CM RW RB ,26,2265,86.0,79.0,87.0,79.0,77.0,73.0,79.0,79.0,70.0,77.0,74.0,75.0,82.0,73.0,76.0,82.0,79.0,82.0,82.0,78.0,84.0,90.0,79.0,68.0,75.0,87.0,82,84,73000.0,22000000.0
Iñigo Martínez,Spain,Real Sociedad,CB ,26,1961,70.0,86.0,67.0,72.0,51.0,72.0,53.0,51.0,78.0,82.0,89.0,77.0,74.0,85.0,39.0,48.0,75.0,74.0,81.0,84.0,72.0,72.0,81.0,78.0,46.0,37.0,82,86,37000.0,24000000.0
E. Dier,England,Tottenham Hotspur,CM CDM CB ,23,2045,70.0,90.0,56.0,77.0,67.0,54.0,66.0,77.0,83.0,80.0,77.0,77.0,72.0,79.0,70.0,53.0,76.0,76.0,83.0,83.0,74.0,80.0,82.0,87.0,66.0,52.0,82,87,85000.0,25000000.0
A. Rami,France,Olympique de Marseille,CB ,31,1725,49.0,83.0,57.0,77.0,28.0,43.0,53.0,55.0,79.0,83.0,76.0,68.0,58.0,80.0,48.0,24.0,75.0,66.0,83.0,78.0,57.0,63.0,81.0,91.0,22.0,45.0,81,81,35000.0,12000000.0
M. Sakho,France,Crystal Palace,CB ,27,1728,53.0,86.0,61.0,71.0,60.0,50.0,50.0,30.0,74.0,81.0,82.0,68.0,38.0,78.0,40.0,32.0,72.0,73.0,51.0,79.0,67.0,74.0,83.0,90.0,49.0,20.0,81,82,63000.0,17000000.0
S. Rudy,Germany,FC Bayern Munich,RM RB CDM CM ,27,2119,74.0,58.0,79.0,81.0,73.0,82.0,78.0,79.0,59.0,84.0,65.0,81.0,72.0,72.0,71.0,72.0,84.0,84.0,71.0,74.0,68.0,79.0,73.0,65.0,80.0,66.0,81,82,105000.0,20000000.0
C. Smalling,England,Manchester United,CB ,27,1826,69.0,83.0,60.0,71.0,52.0,49.0,59.0,22.0,83.0,79.0,75.0,63.0,35.0,80.0,52.0,48.0,78.0,66.0,42.0,80.0,75.0,77.0,82.0,87.0,49.0,54.0,81,82,120000.0,17000000.0
De Marcos,Spain,Athletic Club de Bilbao,RB ,28,2101,83.0,76.0,77.0,76.0,78.0,77.0,76.0,53.0,59.0,79.0,78.0,69.0,56.0,66.0,55.0,80.0,85.0,77.0,73.0,80.0,89.0,93.0,80.0,74.0,66.0,57.0,81,81,31000.0,14000000.0
S. Kjær,Denmark,Sevilla FC,CB ,28,1869,60.0,80.0,48.0,72.0,54.0,52.0,42.0,73.0,82.0,81.0,70.0,74.0,41.0,80.0,61.0,31.0,76.0,75.0,78.0,80.0,68.0,78.0,82.0,83.0,49.0,37.0,81,82,23000.0,16000000.0
S. Coleman,Republic of Ireland,Everton,RB ,28,2064,74.0,78.0,76.0,78.0,81.0,42.0,78.0,35.0,67.0,76.0,72.0,70.0,68.0,82.0,60.0,75.0,83.0,78.0,75.0,83.0,72.0,84.0,84.0,73.0,70.0,64.0,81,81,115000.0,14000000.0
D. Srna,Croatia,Shakhtar Donetsk,RB ,35,2205,69.0,83.0,71.0,81.0,85.0,86.0,72.0,83.0,60.0,85.0,67.0,87.0,77.0,78.0,84.0,76.0,78.0,85.0,83.0,77.0,76.0,74.0,78.0,72.0,86.0,72.0,81,81,1000.0,3800000.0
Marcos Alonso,Spain,Chelsea,LB LM LWB ,26,2118,74.0,72.0,68.0,75.0,81.0,75.0,78.0,80.0,70.0,74.0,70.0,73.0,75.0,77.0,64.0,73.0,82.0,79.0,79.0,78.0,79.0,90.0,80.0,79.0,65.0,52.0,81,83,115000.0,17500000.0
P. Mertesacker,Germany,Arsenal,CB ,32,1558,26.0,68.0,27.0,87.0,38.0,39.0,39.0,45.0,84.0,86.0,30.0,58.0,25.0,85.0,42.0,43.0,85.0,66.0,71.0,82.0,28.0,55.0,87.0,83.0,58.0,30.0,81,81,110000.0,10000000.0
G. Rodríguez,Argentina,San Lorenzo de Almagro,CB ,33,1856,65.0,80.0,64.0,78.0,38.0,50.0,62.0,46.0,84.0,83.0,86.0,74.0,36.0,82.0,74.0,32.0,76.0,70.0,68.0,80.0,70.0,66.0,84.0,78.0,64.0,22.0,81,81,27000.0,7000000.0
Dante,Brazil,OGC Nice,CB ,33,1846,44.0,73.0,53.0,77.0,60.0,51.0,58.0,60.0,83.0,80.0,65.0,75.0,53.0,80.0,57.0,41.0,77.0,74.0,66.0,84.0,45.0,62.0,83.0,81.0,62.0,44.0,81,81,39000.0,7000000.0
M. Škrtel,Slovakia,Fenerbahçe SK,CB ,32,1666,54.0,80.0,52.0,71.0,39.0,33.0,46.0,27.0,84.0,81.0,75.0,67.0,35.0,80.0,39.0,33.0,73.0,69.0,46.0,81.0,67.0,76.0,83.0,85.0,28.0,43.0,81,81,73000.0,10000000.0
D. Astori,Italy,Fiorentina,CB ,30,1656,66.0,77.0,57.0,74.0,34.0,33.0,56.0,17.0,77.0,86.0,80.0,68.0,36.0,85.0,27.0,29.0,80.0,68.0,65.0,80.0,69.0,69.0,85.0,80.0,46.0,27.0,81,81,68000.0,13000000.0
Mario Gaspar,Spain,Villarreal CF,RB ,26,2092,78.0,77.0,69.0,71.0,79.0,75.0,73.0,54.0,64.0,80.0,73.0,69.0,69.0,83.0,50.0,64.0,77.0,75.0,81.0,82.0,83.0,88.0,80.0,79.0,57.0,77.0,81,84,38000.0,18000000.0
J. Kimmich,Germany,FC Bayern Munich,CDM CB CM RB ,22,2158,76.0,74.0,83.0,78.0,88.0,81.0,77.0,61.0,69.0,79.0,79.0,80.0,67.0,77.0,44.0,76.0,83.0,85.0,75.0,79.0,65.0,85.0,78.0,65.0,79.0,61.0,81,87,81000.0,20500000.0
