Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Jumping,Long passing,Long shots,Penalties,Positioning,Short passing,Shot power,Sprint speed,Stamina,Vision,Volleys,Strength,Reactions,Overall,Potential,Wage,Value
M. Reus,Germany,Borussia Dortmund,LW ST LM ,28,2157,86.0,49.0,86.0,81.0,85.0,83.0,80.0,90.0,86.0,86.0,84.0,49.0,72.0,80.0,88.0,87.0,86.0,86.0,87.0,90.0,68.0,86.0,88.0,67.0,87.0,86,86,120000.0,45000000.0
Coutinho,Brazil,Liverpool,CAM LW ,25,2049,88.0,55.0,92.0,92.0,88.0,85.0,77.0,84.0,88.0,74.0,82.0,47.0,59.0,78.0,86.0,64.0,83.0,85.0,80.0,77.0,80.0,87.0,75.0,61.0,81.0,86,89,205000.0,56000000.0
T. Müller,Germany,FC Bayern Munich,ST CAM RW CF ,27,2078,76.0,57.0,76.0,72.0,82.0,83.0,77.0,81.0,75.0,87.0,59.0,82.0,81.0,68.0,77.0,60.0,93.0,81.0,77.0,78.0,90.0,81.0,83.0,67.0,92.0,86,86,190000.0,47500000.0
R. Lukaku,Belgium,Manchester United,ST ,24,1997,76.0,72.0,62.0,47.0,75.0,84.0,68.0,72.0,77.0,89.0,66.0,87.0,71.0,68.0,75.0,82.0,87.0,71.0,88.0,89.0,80.0,73.0,76.0,93.0,85.0,86,90,210000.0,59000000.0
H. Kane,England,Tottenham Hotspur,ST ,23,2057,68.0,74.0,73.0,62.0,82.0,84.0,70.0,71.0,78.0,90.0,66.0,83.0,70.0,67.0,84.0,84.0,89.0,75.0,87.0,74.0,85.0,75.0,73.0,86.0,87.0,86,90,165000.0,59000000.0
A. Di María,Argentina,Paris Saint-Germain,LW RW ,29,2115,86.0,73.0,92.0,79.0,85.0,82.0,85.0,78.0,86.0,74.0,72.0,53.0,72.0,79.0,77.0,73.0,82.0,83.0,83.0,86.0,78.0,81.0,77.0,60.0,80.0,85,85,145000.0,37500000.0
H. Mkhitaryan,Armenia,Manchester United,LM RW RM ,28,2148,88.0,69.0,89.0,85.0,87.0,79.0,79.0,83.0,87.0,77.0,64.0,53.0,71.0,72.0,75.0,72.0,82.0,84.0,87.0,84.0,86.0,85.0,81.0,63.0,82.0,85,85,195000.0,39000000.0
A. Lacazette,France,Arsenal,ST ,26,2063,84.0,70.0,87.0,84.0,84.0,86.0,64.0,74.0,85.0,87.0,71.0,72.0,76.0,59.0,76.0,84.0,87.0,79.0,81.0,87.0,80.0,74.0,82.0,79.0,85.0,85,88,180000.0,48500000.0
L. Insigne,Italy,Napoli,LW ,26,1949,94.0,34.0,96.0,93.0,90.0,78.0,83.0,83.0,88.0,73.0,77.0,56.0,53.0,73.0,80.0,61.0,83.0,83.0,70.0,86.0,75.0,87.0,74.0,44.0,80.0,85,86,115000.0,45000000.0
Willian,Brazil,Chelsea,CAM RM RW ,28,2061,91.0,44.0,89.0,81.0,86.0,79.0,77.0,82.0,87.0,77.0,85.0,29.0,46.0,77.0,81.0,70.0,80.0,82.0,71.0,86.0,87.0,83.0,59.0,62.0,83.0,84,84,200000.0,31500000.0
Falcao,Colombia,AS Monaco,ST ,31,2010,73.0,75.0,85.0,75.0,82.0,87.0,55.0,83.0,74.0,87.0,71.0,90.0,92.0,58.0,80.0,84.0,85.0,78.0,79.0,66.0,68.0,68.0,84.0,75.0,82.0,84,84,68000.0,28000000.0
E. Džeko,Bosnia Herzegovina,Roma,ST ,31,1861,67.0,51.0,57.0,36.0,80.0,79.0,63.0,65.0,76.0,87.0,54.0,84.0,66.0,72.0,73.0,67.0,89.0,77.0,86.0,61.0,70.0,70.0,77.0,82.0,83.0,84,84,115000.0,28000000.0
D. Payet,France,Olympique de Marseille,CAM LW ,30,2076,79.0,57.0,79.0,81.0,90.0,86.0,86.0,90.0,89.0,76.0,91.0,59.0,48.0,84.0,83.0,76.0,79.0,86.0,78.0,72.0,73.0,87.0,79.0,76.0,76.0,84,84,60000.0,29500000.0
Pedro,Spain,Chelsea,LW RW ,29,1987,84.0,56.0,84.0,82.0,87.0,78.0,78.0,81.0,84.0,81.0,57.0,55.0,67.0,70.0,78.0,66.0,84.0,83.0,71.0,80.0,78.0,77.0,70.0,56.0,84.0,84,84,200000.0,30500000.0
A. Gómez,Argentina,Atalanta,ST LW CF ,29,2013,94.0,56.0,92.0,94.0,87.0,84.0,82.0,78.0,89.0,78.0,71.0,36.0,70.0,72.0,78.0,71.0,81.0,82.0,76.0,86.0,78.0,85.0,72.0,48.0,83.0,84,84,60000.0,31000000.0
Aduriz,Spain,Athletic Club de Bilbao,ST ,36,1987,69.0,82.0,53.0,57.0,80.0,87.0,54.0,61.0,79.0,85.0,54.0,94.0,94.0,52.0,80.0,75.0,86.0,71.0,83.0,70.0,64.0,73.0,84.0,83.0,85.0,84,84,38000.0,11000000.0
J. Draxler,Germany,Paris Saint-Germain,LM CAM LW ,23,2017,76.0,48.0,81.0,75.0,87.0,81.0,83.0,78.0,88.0,78.0,75.0,65.0,76.0,77.0,81.0,63.0,79.0,84.0,86.0,79.0,68.0,84.0,84.0,67.0,83.0,84,87,120000.0,39500000.0
Marco Asensio,Spain,Real Madrid CF,LW LM RM CAM ,21,1998,79.0,45.0,78.0,76.0,86.0,82.0,79.0,83.0,83.0,82.0,76.0,50.0,57.0,81.0,87.0,62.0,72.0,86.0,84.0,77.0,73.0,83.0,75.0,61.0,78.0,84,92,175000.0,46000000.0
D. Alli,England,Tottenham Hotspur,LM CF CAM ,21,2122,77.0,84.0,74.0,62.0,85.0,86.0,68.0,71.0,83.0,84.0,53.0,75.0,69.0,76.0,79.0,68.0,86.0,83.0,77.0,76.0,89.0,83.0,76.0,71.0,85.0,84,90,115000.0,43000000.0
S. Mané,Senegal,Liverpool,LW RW ,25,2046,94.0,73.0,89.0,85.0,84.0,78.0,72.0,74.0,86.0,83.0,64.0,53.0,75.0,71.0,69.0,71.0,84.0,77.0,77.0,92.0,82.0,78.0,68.0,72.0,80.0,84,87,175000.0,39000000.0
M. Icardi,Argentina,Inter,ST ,24,1866,75.0,55.0,74.0,76.0,77.0,82.0,46.0,58.0,74.0,89.0,45.0,84.0,92.0,54.0,70.0,78.0,89.0,73.0,81.0,80.0,70.0,64.0,81.0,74.0,83.0,84,89,105000.0,42000000.0
Morata,Spain,Chelsea,ST ,24,1862,78.0,54.0,62.0,56.0,84.0,79.0,73.0,76.0,83.0,82.0,44.0,79.0,79.0,51.0,78.0,72.0,83.0,78.0,80.0,86.0,70.0,76.0,81.0,82.0,81.0,84,88,170000.0,41000000.0
K. Gameiro,France,Atlético Madrid,ST ,30,2040,88.0,66.0,82.0,77.0,80.0,85.0,70.0,76.0,76.0,86.0,70.0,67.0,84.0,72.0,76.0,85.0,86.0,79.0,84.0,86.0,76.0,76.0,78.0,64.0,85.0,83,83,73000.0,25000000.0
Jonas,Brazil,SL Benfica,CF ST ,33,2006,66.0,61.0,77.0,69.0,88.0,87.0,70.0,85.0,84.0,87.0,77.0,79.0,69.0,70.0,84.0,84.0,86.0,74.0,83.0,65.0,71.0,83.0,85.0,63.0,85.0,83,83,21000.0,16500000.0
S. Giovinco,Italy,Toronto FC,ST CF ,30,1961,88.0,75.0,92.0,93.0,87.0,88.0,73.0,86.0,86.0,83.0,89.0,34.0,34.0,75.0,81.0,77.0,84.0,79.0,79.0,81.0,77.0,82.0,75.0,42.0,82.0,83,83,15000.0,25000000.0
M. Mandžukić,Croatia,Juventus,LM ST ,31,2104,68.0,88.0,67.0,53.0,77.0,80.0,72.0,64.0,74.0,84.0,49.0,90.0,85.0,65.0,58.0,76.0,89.0,75.0,78.0,76.0,87.0,74.0,86.0,87.0,86.0,83,83,135000.0,23500000.0
José Callejón,Spain,Napoli,RW ,30,1987,90.0,54.0,85.0,81.0,84.0,79.0,77.0,65.0,82.0,76.0,65.0,65.0,73.0,51.0,80.0,62.0,88.0,75.0,78.0,90.0,92.0,78.0,84.0,55.0,80.0,83,83,87000.0,24500000.0
Nani,Portugal,Lazio,LM CAM RW LW ,30,1949,84.0,62.0,92.0,77.0,86.0,79.0,82.0,86.0,87.0,75.0,79.0,46.0,39.0,79.0,83.0,72.0,77.0,81.0,85.0,78.0,74.0,80.0,75.0,62.0,80.0,83,83,47000.0,24500000.0
Borja Valero,Spain,Inter,CF CM CAM ,32,2089,73.0,52.0,80.0,82.0,88.0,80.0,78.0,78.0,86.0,67.0,76.0,60.0,67.0,86.0,70.0,72.0,76.0,89.0,72.0,67.0,74.0,86.0,70.0,66.0,84.0,83,83,80000.0,20000000.0
K. Walker,England,Manchester City,RWB RB ,27,2164,86.0,78.0,70.0,72.0,76.0,75.0,78.0,76.0,77.0,51.0,71.0,73.0,83.0,67.0,68.0,63.0,66.0,75.0,86.0,93.0,90.0,69.0,57.0,77.0,81.0,83,84,130000.0,24000000.0
A. Belotti,Italy,Torino,ST ,23,1935,80.0,83.0,79.0,75.0,78.0,78.0,42.0,64.0,78.0,88.0,56.0,84.0,83.0,42.0,67.0,77.0,85.0,68.0,81.0,83.0,84.0,61.0,80.0,85.0,78.0,83,90,58000.0,37000000.0
M. Salah,Egypt,Liverpool,RW ,25,2032,93.0,63.0,86.0,84.0,87.0,75.0,73.0,70.0,87.0,79.0,60.0,59.0,70.0,65.0,62.0,61.0,83.0,79.0,71.0,93.0,77.0,78.0,71.0,61.0,82.0,83,86,135000.0,32500000.0
O. Dembélé,France,FC Barcelona,CAM LW RW ,20,1969,93.0,54.0,90.0,85.0,85.0,73.0,77.0,78.0,92.0,77.0,65.0,43.0,59.0,68.0,65.0,75.0,78.0,74.0,82.0,89.0,74.0,84.0,76.0,47.0,82.0,83,92,150000.0,40000000.0
B. Dost,Netherlands,Sporting CP,ST ,28,1809,54.0,72.0,38.0,35.0,73.0,78.0,38.0,62.0,64.0,87.0,32.0,93.0,55.0,37.0,74.0,81.0,88.0,74.0,83.0,64.0,84.0,68.0,85.0,89.0,85.0,83,83,28000.0,27000000.0
Roberto Firmino,Brazil,Liverpool,CAM CF ST ,25,2101,77.0,66.0,82.0,81.0,85.0,78.0,72.0,80.0,87.0,83.0,67.0,72.0,81.0,75.0,80.0,72.0,84.0,83.0,79.0,77.0,86.0,83.0,79.0,76.0,82.0,83,87,135000.0,34000000.0
Iago Aspas,Spain,RC Celta de Vigo,RW ST ,29,2012,84.0,63.0,88.0,77.0,84.0,73.0,67.0,83.0,85.0,86.0,76.0,78.0,68.0,64.0,80.0,80.0,85.0,80.0,79.0,79.0,70.0,68.0,86.0,59.0,86.0,83,83,39000.0,26000000.0
S. Kagawa,Japan,Borussia Dortmund,CF CAM ,28,1874,76.0,30.0,92.0,88.0,85.0,81.0,60.0,74.0,87.0,76.0,63.0,42.0,66.0,73.0,55.0,78.0,80.0,84.0,56.0,65.0,80.0,82.0,75.0,39.0,81.0,83,83,75000.0,26000000.0
J. Pastore,Argentina,Paris Saint-Germain,RW LW CM ,28,2066,69.0,65.0,79.0,58.0,87.0,79.0,77.0,83.0,88.0,73.0,69.0,63.0,49.0,83.0,76.0,75.0,78.0,87.0,78.0,72.0,67.0,86.0,78.0,64.0,83.0,83,83,100000.0,25500000.0
G. Bonaventura,Italy,Milan,LW CM ,27,2197,78.0,68.0,81.0,77.0,85.0,82.0,82.0,78.0,83.0,70.0,78.0,60.0,69.0,80.0,86.0,68.0,78.0,84.0,84.0,78.0,87.0,82.0,78.0,69.0,82.0,83,83,115000.0,26500000.0
K. Mbappé,France,Paris Saint-Germain,ST ,18,2050,89.0,62.0,78.0,76.0,87.0,80.0,70.0,75.0,86.0,87.0,58.0,76.0,71.0,68.0,68.0,70.0,79.0,78.0,79.0,90.0,83.0,77.0,74.0,74.0,79.0,83,94,31000.0,41500000.0
O. Giroud,France,Arsenal,ST ,30,1933,51.0,76.0,59.0,52.0,82.0,78.0,64.0,70.0,72.0,83.0,65.0,90.0,82.0,56.0,74.0,81.0,83.0,77.0,85.0,55.0,74.0,75.0,82.0,90.0,82.0,82,82,140000.0,21500000.0
M. Kruse,Germany,SV Werder Bremen,CAM ST CF ,29,2053,74.0,63.0,75.0,76.0,86.0,86.0,81.0,80.0,82.0,86.0,69.0,63.0,66.0,80.0,80.0,89.0,85.0,83.0,81.0,69.0,76.0,84.0,80.0,69.0,85.0,82,82,47000.0,22000000.0
J. Hernández,Mexico,West Ham United,ST ,29,1917,84.0,59.0,81.0,83.0,79.0,81.0,62.0,67.0,76.0,87.0,52.0,82.0,82.0,55.0,69.0,76.0,87.0,70.0,76.0,75.0,68.0,72.0,79.0,53.0,83.0,82,82,135000.0,22000000.0
M. Arnautović,Austria,West Ham United,LW RM LM ,28,2094,76.0,81.0,72.0,57.0,85.0,77.0,83.0,79.0,84.0,73.0,74.0,71.0,68.0,74.0,71.0,77.0,80.0,79.0,78.0,78.0,79.0,81.0,79.0,84.0,75.0,82,82,125000.0,22500000.0
M. Balotelli,Italy,OGC Nice,ST ,26,1887,77.0,70.0,70.0,50.0,85.0,79.0,68.0,78.0,81.0,84.0,78.0,66.0,75.0,55.0,74.0,92.0,76.0,75.0,88.0,82.0,66.0,70.0,74.0,85.0,68.0,82,82,51000.0,24500000.0
David Villa,Spain,New York City Football Club,ST ,35,1997,72.0,67.0,75.0,75.0,85.0,83.0,71.0,83.0,83.0,86.0,80.0,67.0,67.0,67.0,79.0,88.0,86.0,76.0,81.0,67.0,76.0,75.0,79.0,66.0,83.0,82,82,12000.0,10000000.0
A. Turan,Turkey,FC Barcelona,LW RW CM ,30,2141,75.0,80.0,82.0,76.0,86.0,83.0,82.0,81.0,85.0,71.0,64.0,70.0,78.0,80.0,76.0,73.0,81.0,83.0,73.0,68.0,69.0,83.0,80.0,70.0,80.0,82,82,170000.0,20500000.0
Raffael,Brazil,Borussia Mönchengladbach,ST CF ,32,2051,77.0,66.0,84.0,83.0,87.0,79.0,73.0,80.0,87.0,81.0,73.0,63.0,71.0,77.0,78.0,72.0,82.0,84.0,77.0,68.0,74.0,83.0,75.0,63.0,84.0,82,82,54000.0,17500000.0
M. Gómez,Germany,VfL Wolfsburg,ST ,31,1832,68.0,72.0,63.0,53.0,75.0,85.0,62.0,68.0,74.0,84.0,36.0,83.0,76.0,50.0,78.0,74.0,84.0,69.0,82.0,75.0,69.0,62.0,78.0,86.0,81.0,82,82,85000.0,20000000.0
C. Vela,Mexico,Real Sociedad,ST RW ,28,1963,87.0,57.0,86.0,79.0,81.0,79.0,80.0,80.0,82.0,81.0,71.0,64.0,69.0,63.0,80.0,72.0,81.0,81.0,73.0,81.0,68.0,80.0,84.0,68.0,77.0,82,82,46000.0,22500000.0
D. Rose,England,Tottenham Hotspur,LWB LB ,26,2117,80.0,87.0,73.0,76.0,76.0,73.0,81.0,64.0,79.0,57.0,57.0,62.0,75.0,66.0,69.0,57.0,68.0,76.0,72.0,81.0,81.0,73.0,64.0,74.0,82.0,82,83,99000.0,21000000.0
D. Sturridge,England,Liverpool,ST ,27,1882,74.0,60.0,75.0,64.0,81.0,81.0,62.0,62.0,80.0,83.0,68.0,73.0,72.0,62.0,80.0,75.0,84.0,74.0,83.0,78.0,68.0,74.0,75.0,71.0,82.0,82,82,140000.0,23500000.0
L. Stindl,Germany,Borussia Mönchengladbach,CAM CF ,28,2173,74.0,74.0,71.0,78.0,83.0,83.0,76.0,79.0,78.0,84.0,69.0,64.0,73.0,69.0,86.0,80.0,86.0,83.0,84.0,69.0,82.0,83.0,86.0,70.0,84.0,82,82,56000.0,23000000.0
André Gomes,Portugal,FC Barcelona,CAM LW CM ,23,2087,71.0,81.0,67.0,64.0,80.0,78.0,61.0,82.0,81.0,68.0,68.0,69.0,58.0,83.0,73.0,55.0,77.0,84.0,80.0,66.0,78.0,83.0,63.0,85.0,79.0,82,88,150000.0,30000000.0
F. Vázquez,Italy,Sevilla FC,CF CM CAM ,28,1992,62.0,80.0,71.0,48.0,89.0,85.0,73.0,82.0,88.0,77.0,68.0,68.0,49.0,74.0,83.0,67.0,74.0,83.0,74.0,66.0,72.0,84.0,79.0,78.0,81.0,82,82,27000.0,22500000.0
C. Bacca,Colombia,Villarreal CF,ST ,30,1872,76.0,62.0,76.0,77.0,81.0,80.0,60.0,72.0,79.0,87.0,58.0,76.0,77.0,50.0,60.0,80.0,87.0,72.0,76.0,78.0,67.0,66.0,80.0,74.0,80.0,82,82,125000.0,21500000.0
Lucas Vázquez,Spain,Real Madrid CF,RM RW ,26,2005,83.0,65.0,82.0,78.0,83.0,72.0,85.0,82.0,82.0,77.0,75.0,52.0,67.0,75.0,78.0,56.0,81.0,81.0,77.0,79.0,90.0,82.0,54.0,57.0,85.0,82,83,185000.0,26000000.0
Q. Promes,Netherlands,Spartak Moscow,LM ST RM ,25,2002,86.0,60.0,87.0,78.0,82.0,78.0,75.0,75.0,83.0,82.0,76.0,60.0,82.0,69.0,83.0,72.0,79.0,76.0,82.0,91.0,81.0,81.0,68.0,61.0,81.0,82,85,76000.0,28000000.0
A. Martial,France,Manchester United,ST LM ,21,2053,92.0,59.0,85.0,82.0,84.0,80.0,73.0,83.0,88.0,81.0,54.0,70.0,80.0,58.0,70.0,88.0,81.0,75.0,84.0,89.0,79.0,74.0,74.0,76.0,81.0,82,90,115000.0,33000000.0
T. Werner,Germany,RB Leipzig,ST ,21,1901,92.0,63.0,79.0,76.0,82.0,70.0,69.0,62.0,81.0,86.0,42.0,74.0,77.0,55.0,67.0,68.0,85.0,76.0,74.0,91.0,78.0,57.0,81.0,59.0,84.0,82,87,68000.0,30500000.0
F. Bernardeschi,Italy,Juventus,LM CF RM ,23,1995,84.0,52.0,85.0,79.0,87.0,83.0,77.0,79.0,86.0,73.0,80.0,48.0,49.0,70.0,82.0,72.0,80.0,80.0,80.0,84.0,83.0,78.0,70.0,63.0,80.0,82,88,110000.0,30500000.0
K. Baldé Diao,Senegal,AS Monaco,ST LW ,22,1929,93.0,54.0,82.0,77.0,89.0,79.0,75.0,70.0,87.0,79.0,52.0,58.0,66.0,64.0,74.0,58.0,78.0,76.0,78.0,92.0,73.0,73.0,68.0,76.0,76.0,82,90,46000.0,32500000.0
N. Fekir,France,Olympique Lyonnais,ST CAM ,23,2011,79.0,69.0,84.0,91.0,86.0,85.0,73.0,80.0,86.0,78.0,71.0,49.0,69.0,72.0,81.0,72.0,79.0,80.0,84.0,80.0,67.0,78.0,74.0,77.0,76.0,82,85,70000.0,28000000.0
I. Slimani,Algeria,Leicester City,ST ,29,1988,66.0,86.0,64.0,55.0,75.0,79.0,58.0,73.0,74.0,80.0,47.0,91.0,87.0,61.0,71.0,74.0,85.0,73.0,78.0,72.0,87.0,72.0,79.0,85.0,84.0,82,82,100000.0,22000000.0
C. Immobile,Italy,Lazio,ST ,27,1948,77.0,77.0,77.0,63.0,79.0,81.0,55.0,70.0,77.0,86.0,51.0,75.0,77.0,49.0,76.0,76.0,86.0,70.0,86.0,85.0,71.0,62.0,81.0,74.0,85.0,82,83,70000.0,26000000.0
L. Sané,Germany,Manchester City,LM RW LW ,21,2001,93.0,58.0,89.0,82.0,84.0,76.0,76.0,82.0,87.0,78.0,62.0,72.0,66.0,64.0,77.0,63.0,82.0,75.0,78.0,94.0,80.0,69.0,64.0,70.0,79.0,82,91,125000.0,34500000.0
F. Thauvin,France,Olympique de Marseille,RM RW ,24,1966,88.0,56.0,81.0,71.0,83.0,80.0,82.0,80.0,86.0,74.0,54.0,69.0,64.0,75.0,81.0,57.0,80.0,81.0,82.0,77.0,71.0,78.0,67.0,62.0,83.0,82,85,40000.0,28000000.0
H. Son,Korea Republic,Tottenham Hotspur,ST RM LM ,24,1975,87.0,60.0,79.0,77.0,82.0,78.0,75.0,81.0,85.0,83.0,70.0,65.0,65.0,64.0,86.0,71.0,83.0,78.0,83.0,86.0,80.0,78.0,73.0,62.0,81.0,82,85,95000.0,28000000.0
X. Shaqiri,Switzerland,Stoke City,RW RM ,25,2073,87.0,64.0,88.0,92.0,83.0,79.0,74.0,82.0,85.0,72.0,78.0,37.0,63.0,76.0,81.0,65.0,78.0,80.0,85.0,79.0,74.0,79.0,76.0,62.0,80.0,82,85,85000.0,28000000.0
Willian José,Brazil,Real Sociedad,ST ,25,1923,65.0,65.0,60.0,50.0,80.0,73.0,54.0,68.0,79.0,84.0,71.0,84.0,72.0,48.0,76.0,80.0,85.0,79.0,83.0,68.0,67.0,63.0,80.0,87.0,81.0,82,86,42000.0,29000000.0
Lucas,Brazil,Paris Saint-Germain,LW RW ,24,2049,95.0,67.0,94.0,87.0,82.0,79.0,75.0,69.0,88.0,72.0,74.0,50.0,71.0,74.0,71.0,75.0,78.0,77.0,79.0,92.0,68.0,73.0,70.0,56.0,75.0,82,85,92000.0,28000000.0
A. Florenzi,Italy,Roma,CM RW RB ,26,2265,86.0,79.0,87.0,84.0,84.0,79.0,77.0,73.0,79.0,76.0,79.0,70.0,74.0,75.0,82.0,76.0,82.0,82.0,82.0,84.0,90.0,75.0,87.0,68.0,79.0,82,84,73000.0,22000000.0
R. Sterling,England,Manchester City,LM RM RW ,22,1960,94.0,34.0,91.0,92.0,84.0,74.0,73.0,64.0,85.0,73.0,49.0,38.0,60.0,67.0,70.0,63.0,81.0,81.0,68.0,92.0,75.0,75.0,59.0,64.0,79.0,82,87,140000.0,29500000.0
