Name,Nationality,Club,Preferred Positions,Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
B. Lecomte,France,Montpellier Hérault SC,GK ,26,1089,78.0,74.0,79.0,76.0,80.0,78,83,9500000.0,22000.0
E. Berisha,Albania,Atalanta,GK ,28,1081,79.0,76.0,67.0,78.0,81.0,78,79,8500000.0,24000.0
Marafona,Portugal,SC Braga,GK ,30,1198,80.0,73.0,66.0,77.0,81.0,78,78,6500000.0,11000.0
B. Reynet,France,Dijon FCO,GK ,26,1131,77.0,76.0,74.0,77.0,81.0,78,80,8500000.0,17000.0
A. Marchesín,Argentina,Club América,GK ,29,1270,73.0,75.0,74.0,80.0,81.0,78,79,8000000.0,45000.0
C. Tătăruşanu,Romania,FC Nantes,GK ,31,1206,77.0,75.0,74.0,79.0,80.0,78,78,6500000.0,20000.0
C. Candero,Chile,Universidad de Chile,GK ,29,1165,77.0,75.0,74.0,76.0,76.0,77,77,6000000.0,12000.0
F. Forster,England,Southampton,GK ,29,1178,74.0,78.0,69.0,76.0,80.0,77,78,7000000.0,61000.0
J. Pickford,England,Everton,GK ,23,1304,77.0,76.0,85.0,73.0,82.0,77,85,10000000.0,59000.0
I. Khune,South Africa,Kaizer Chiefs,GK ,30,1377,75.0,73.0,90.0,75.0,77.0,77,77,5500000.0,1000.0
R. Weidenfeller,Germany,Borussia Dortmund,GK ,36,1069,72.0,80.0,53.0,81.0,77.0,77,77,1200000.0,26000.0
Javi Varas,Spain,Granada CF,GK ,34,1285,80.0,72.0,73.0,76.0,81.0,77,77,3600000.0,10000.0
Sergio,Spain,RC Celta de Vigo,GK ,30,1181,77.0,72.0,75.0,78.0,80.0,77,77,5500000.0,20000.0
J. Leca,France,AC Ajaccio,GK ,31,1138,78.0,72.0,66.0,76.0,82.0,77,77,5500000.0,7000.0
M. Andújar,Argentina,Estudiantes de La Plata,GK ,33,1168,77.0,76.0,64.0,79.0,78.0,77,77,4500000.0,15000.0
Pacheco,Spain,Deportivo Alavés,GK ,25,1208,77.0,73.0,63.0,80.0,76.0,77,81,8000000.0,19000.0
F. Armani,Argentina,Atletico Nacional Medellin,GK ,30,1113,76.0,73.0,67.0,78.0,79.0,77,77,5500000.0,6000.0
S. Kapino,Greece,Olympiakos CFP,GK ,23,1190,79.0,68.0,66.0,77.0,84.0,77,83,9000000.0,1000.0
D. Boyko,Ukraine,Beşiktaş JK,GK ,29,1210,77.0,69.0,68.0,74.0,83.0,77,77,6000000.0,40000.0
A. Lafont,France,Toulouse FC,GK ,18,1174,78.0,77.0,71.0,76.0,79.0,77,89,11500000.0,10000.0
L. Kalinić,Croatia,KAA Gent,GK ,27,1122,81.0,73.0,58.0,74.0,80.0,77,79,7000000.0,19000.0
Raphaelito Anjos,Brazil,Santos Futebol Clube,GK ,29,1155,77.0,75.0,74.0,76.0,76.0,77,77,6000000.0,18000.0
B. Jones,Australia,Feyenoord,GK ,35,1183,75.0,77.0,72.0,80.0,75.0,77,77,2100000.0,9000.0
T. Krul,Netherlands,Brighton & Hove Albion,GK ,29,1242,77.0,77.0,69.0,75.0,77.0,77,78,7000000.0,54000.0
Yoel,Spain,SD Eibar,GK ,28,1195,76.0,78.0,77.0,75.0,78.0,77,77,6000000.0,19000.0
M. Ryan,Australia,Brighton & Hove Albion,GK ,25,1341,76.0,74.0,90.0,74.0,78.0,77,80,8000000.0,36000.0
Bruno Varela,Portugal,SL Benfica,GK ,22,1143,77.0,71.0,65.0,77.0,80.0,77,83,9000000.0,9000.0
A. Boruc,Poland,Bournemouth,GK ,37,1172,77.0,73.0,62.0,77.0,82.0,77,77,600000.0,32000.0
S. Torrico,Argentina,San Lorenzo de Almagro,GK ,37,1152,76.0,72.0,75.0,78.0,80.0,77,77,600000.0,12000.0
A. Belenov,Russia,FC Ufa,GK ,30,1133,75.0,69.0,71.0,78.0,82.0,77,77,5500000.0,24000.0
O. Kıvrak,Turkey,Trabzonspor,GK ,29,1304,77.0,74.0,67.0,74.0,82.0,77,77,6000000.0,28000.0
Iraizoz,Spain,Girona CF,GK ,36,1129,69.0,79.0,80.0,85.0,70.0,77,77,1200000.0,13000.0
D. Benaglio,Switzerland,AS Monaco,GK ,33,1195,76.0,80.0,61.0,79.0,73.0,77,77,4500000.0,27000.0
T. Vaclík,Czech Republic,FC Basel,GK ,28,1206,79.0,75.0,74.0,77.0,80.0,77,78,7000000.0,32000.0
Gabri Prestão,Brazil,Botafogo de Futebol e Regatas,GK ,25,1128,77.0,74.0,70.0,77.0,75.0,76,76,5500000.0,16000.0
Serantes,Spain,CD Leganés,GK ,27,1258,81.0,72.0,74.0,71.0,77.0,76,78,6000000.0,21000.0
Nelsildo Reis,Brazil,Coritiba Foot Ball Club,GK ,29,1324,76.0,77.0,77.0,76.0,74.0,76,76,5000000.0,21000.0
Fred Aníbão,Brazil,Avaí Futebol Clube,GK ,25,1107,71.0,77.0,76.0,72.0,77.0,76,76,5500000.0,14000.0
A. Letellier,France,Angers SCO,GK ,26,1049,75.0,74.0,67.0,76.0,81.0,76,79,6500000.0,20000.0
Herrerín,Spain,Athletic Club de Bilbao,GK ,29,1194,76.0,83.0,66.0,75.0,73.0,76,76,5000000.0,21000.0
Riesgo,Spain,SD Eibar,GK ,33,1209,78.0,79.0,66.0,78.0,73.0,76,76,3900000.0,18000.0
M. Storari,Italy,Milan,GK ,40,1200,78.0,76.0,66.0,75.0,78.0,76,76,525000.0,38000.0
Z. Karčemarskas,Lithuania,Osmanlıspor,GK ,34,1127,77.0,76.0,66.0,76.0,78.0,76,76,3100000.0,16000.0
Matheus,Brazil,SC Braga,GK ,24,1183,78.0,67.0,70.0,75.0,80.0,76,81,7500000.0,9000.0
T. Kraft,Germany,Hertha BSC Berlin,GK ,28,1174,80.0,75.0,54.0,65.0,84.0,76,76,5500000.0,25000.0
J. Corona,Mexico,Cruz Azul,GK ,36,1159,76.0,77.0,66.0,78.0,75.0,76,76,1000000.0,17000.0
F. Bardi,Italy,Frosinone,GK ,25,1129,79.0,77.0,62.0,70.0,77.0,76,79,7000000.0,43000.0
J. Orozco,Mexico,Santos Laguna,GK ,31,1380,75.0,73.0,83.0,75.0,73.0,76,76,4700000.0,19000.0
S. Ulreich,Germany,FC Bayern Munich,GK ,28,1074,80.0,73.0,51.0,73.0,77.0,76,76,5500000.0,68000.0
José Sá,Portugal,FC Porto,GK ,24,1179,78.0,74.0,66.0,72.0,79.0,76,82,7500000.0,10000.0
R. Vercoutre,France,SM Caen,GK ,37,1086,75.0,76.0,77.0,76.0,77.0,76,76,525000.0,13000.0
L. Skorupski,Poland,Roma,GK ,26,1140,80.0,75.0,54.0,75.0,81.0,76,79,6500000.0,46000.0
Andrés Fernández,Spain,Villarreal CF,GK ,30,1308,80.0,71.0,68.0,72.0,79.0,76,76,4900000.0,26000.0
G. Lux,Argentina,River Plate,GK ,35,1169,74.0,71.0,78.0,76.0,79.0,76,76,1800000.0,12000.0
P. Gulácsi,Hungary,RB Leipzig,GK ,27,1172,74.0,78.0,75.0,70.0,79.0,76,77,6000000.0,45000.0
Y. Lodygin,Russia,Zenit St. Petersburg,GK ,27,1180,79.0,74.0,76.0,69.0,83.0,76,78,6000000.0,45000.0
V. Demirel,Turkey,Fenerbahçe SK,GK ,35,1261,77.0,73.0,76.0,77.0,74.0,76,76,1800000.0,32000.0
R. Ahumera,Chile,CD O'Higgins,GK ,29,1466,76.0,77.0,77.0,76.0,74.0,76,76,5000000.0,8000.0
C. Davilo,Chile,Universidad Católica,GK ,25,1113,71.0,77.0,76.0,72.0,77.0,76,76,5500000.0,7000.0
G. Morenda,Chile,Colo-Colo,GK ,25,1151,77.0,74.0,70.0,77.0,75.0,76,76,5500000.0,7000.0
R. Rey,Argentina,PAOK Thessaloniki,GK ,26,1201,76.0,73.0,69.0,78.0,83.0,76,79,6500000.0,1000.0
S. Proto,Belgium,Olympiakos CFP,GK ,34,1269,77.0,75.0,73.0,76.0,78.0,76,76,3100000.0,1000.0
C. Pantilimon,Romania,RC Deportivo de La Coruña,GK ,30,1142,73.0,76.0,67.0,78.0,77.0,76,76,4900000.0,43000.0
Beto,Portugal,Göztepe,GK ,35,1202,79.0,69.0,79.0,75.0,75.0,76,76,1800000.0,11000.0
M. Kerzhakov,Russia,Zenit St. Petersburg,GK ,30,1111,75.0,75.0,73.0,77.0,74.0,76,77,5500000.0,45000.0
S. Padt,Netherlands,FC Groningen,GK ,27,1201,76.0,72.0,66.0,74.0,79.0,76,78,6000000.0,11000.0
M. Díaz,Argentina,Club Atlético Huracán,GK ,31,1123,72.0,71.0,62.0,82.0,78.0,76,76,4700000.0,13000.0
B. van Leer,Netherlands,Ajax,GK ,25,1197,73.0,78.0,65.0,73.0,77.0,76,79,7000000.0,11000.0
K. Johnsson,Sweden,En Avant de Guingamp,GK ,27,1197,75.0,70.0,77.0,75.0,79.0,75,77,5500000.0,17000.0
C. Toselli,Chile,,GK ,29,1332,75.0,74.0,69.0,76.0,76.0,75,75,0.0,0.0
Jaume,Spain,Valencia CF,GK ,26,1308,74.0,73.0,70.0,72.0,79.0,75,79,6000000.0,21000.0
Kaíquão Castro,Brazil,Cruzeiro,GK ,33,1100,77.0,76.0,61.0,72.0,73.0,75,75,3400000.0,21000.0
Y. Mvogo,Switzerland,RB Leipzig,GK ,23,1210,79.0,73.0,68.0,71.0,78.0,75,82,7000000.0,31000.0
Douglas,Brazil,Vitória Guimarães,GK ,34,1200,76.0,72.0,72.0,74.0,77.0,75,75,2700000.0,8000.0
F. Monetti,Argentina,Club Atlético Lanús,GK ,28,1316,78.0,75.0,77.0,71.0,77.0,75,78,6000000.0,14000.0
K. Westwood,Republic of Ireland,Sheffield Wednesday,GK ,32,1233,77.0,71.0,70.0,75.0,77.0,75,75,3800000.0,38000.0
Cássio,Brazil,Rio Ave FC,GK ,36,1209,77.0,72.0,70.0,72.0,74.0,75,75,900000.0,5000.0
A. McCarthy,England,Southampton,GK ,27,1216,76.0,73.0,61.0,74.0,78.0,75,77,5500000.0,49000.0
F. Vidangosa,Chile,Unión Española,GK ,33,1173,76.0,70.0,77.0,75.0,75.0,75,75,3400000.0,5000.0
Rubén Blanco,Spain,RC Celta de Vigo,GK ,21,1166,79.0,74.0,69.0,75.0,71.0,75,83,7500000.0,12000.0
R. Özcan,Austria,Bayer 04 Leverkusen,GK ,33,1169,73.0,71.0,71.0,76.0,75.0,75,75,3400000.0,32000.0
Dani Hernández,Venezuela,CD Tenerife,GK ,31,1176,78.0,72.0,63.0,73.0,76.0,75,75,4000000.0,7000.0
S. Scuffet,Italy,Udinese,GK ,21,1246,74.0,73.0,63.0,70.0,84.0,75,83,7500000.0,14000.0
Isaac Becerra,Spain,Real Valladolid,GK ,29,1275,78.0,72.0,69.0,70.0,77.0,75,76,5000000.0,8000.0
D. Jensen,Denmark,FC Utrecht,GK ,25,1173,74.0,72.0,79.0,72.0,75.0,75,78,6000000.0,9000.0
J. Carrizo,Argentina,Monterrey,GK ,33,1213,77.0,74.0,72.0,73.0,76.0,75,75,3400000.0,36000.0
H. Tekin,Turkey,Bursaspor,GK ,28,1070,77.0,70.0,69.0,73.0,80.0,75,76,5500000.0,15000.0
Gottardi,Brazil,CS Marítimo,GK ,31,1142,76.0,72.0,68.0,77.0,74.0,75,75,4000000.0,8000.0
Ricardo,Portugal,Grupo Desportivo de Chaves,GK ,34,1115,77.0,74.0,63.0,76.0,74.0,75,75,2700000.0,7000.0
M. Sels,Belgium,RSC Anderlecht,GK ,25,1183,80.0,68.0,70.0,75.0,77.0,75,79,6000000.0,40000.0
S. Dzhanaev,Russia,Rubin Kazan,GK ,30,1135,76.0,68.0,72.0,76.0,77.0,75,75,4300000.0,30000.0
A. Schwolow,Germany,SC Freiburg,GK ,25,1104,75.0,74.0,71.0,69.0,77.0,75,78,6000000.0,17000.0
Y. Pelé,France,Olympique de Marseille,GK ,34,1157,75.0,74.0,70.0,72.0,76.0,75,75,2700000.0,20000.0
Rafael,Brazil,Cagliari,GK ,35,1073,77.0,70.0,60.0,76.0,79.0,75,75,1600000.0,22000.0
F. Wiedwald,Germany,Leeds United,GK ,27,1125,77.0,66.0,67.0,69.0,80.0,75,77,5500000.0,25000.0
A. Bizzarri,Argentina,Udinese,GK ,39,1193,74.0,76.0,67.0,79.0,72.0,75,75,450000.0,11000.0
J. Epazo,Chile,Deportes Iquique,GK ,33,1100,77.0,76.0,61.0,72.0,73.0,75,75,3400000.0,3000.0
J. Lössl,Denmark,Huddersfield Town,GK ,28,1070,74.0,77.0,67.0,71.0,77.0,75,76,5500000.0,21000.0
Iván Cuéllar,Spain,CD Leganés,GK ,33,1225,73.0,75.0,77.0,72.0,77.0,75,75,3400000.0,17000.0
Eduardo,Portugal,Chelsea,GK ,34,1245,75.0,74.0,71.0,78.0,75.0,75,75,2700000.0,64000.0
Simão Donatinho,Brazil,Clube Atlético Paranaense,GK ,33,1173,76.0,70.0,77.0,75.0,75.0,75,75,3400000.0,12000.0
M. Esser,Germany,Hannover 96,GK ,29,1183,75.0,73.0,69.0,71.0,78.0,75,75,4500000.0,28000.0
C. Vargas,Colombia,Atletico Nacional Medellin,GK ,28,1233,77.0,75.0,65.0,70.0,77.0,75,76,5500000.0,5000.0
M. Stekelenburg,Netherlands,Everton,GK ,34,1166,76.0,73.0,79.0,72.0,75.0,75,75,2700000.0,60000.0
S. Sosa,Uruguay,Monarcas Morelia,GK ,30,1148,76.0,70.0,65.0,77.0,78.0,75,75,4300000.0,9000.0
A. Blake,Jamaica,Philadelphia Union,GK ,26,1146,81.0,70.0,71.0,70.0,86.0,75,80,6500000.0,7000.0
C. Mathenia,Germany,Hamburger SV,GK ,25,1156,74.0,69.0,66.0,76.0,79.0,75,79,6000000.0,22000.0
M. Barbosa,Argentina,Villarreal CF,GK ,32,1147,75.0,70.0,77.0,71.0,78.0,75,75,3800000.0,22000.0
V. Mannone,Italy,Reading,GK ,29,1273,75.0,72.0,71.0,71.0,76.0,75,75,4500000.0,27000.0
P. Gallese,Peru,,GK ,27,1192,77.0,69.0,68.0,72.0,72.0,74,76,0.0,0.0
M. Langerak,Australia,Levante UD,GK ,28,1153,77.0,73.0,52.0,70.0,78.0,74,75,4500000.0,18000.0
G. Sara,Argentina,Boca Juniors,GK ,29,1206,74.0,70.0,75.0,69.0,77.0,74,74,3800000.0,18000.0
W. Hahn,Netherlands,SC Heerenveen,GK ,25,1305,74.0,74.0,66.0,68.0,79.0,74,79,5500000.0,8000.0
Adrianiscito,Brazil,Fluminense Football Club,GK ,25,1044,68.0,76.0,74.0,77.0,73.0,74,74,4000000.0,24000.0
B. Castro,Belgium,Heracles Almelo,GK ,34,1103,73.0,72.0,52.0,78.0,74.0,74,74,2300000.0,9000.0
T. Strakosha,Albania,Lazio,GK ,22,1099,74.0,70.0,73.0,69.0,80.0,74,84,7000000.0,25000.0
Victorino Magela,Brazil,Sociedade Esportiva Palmeiras,GK ,29,1120,71.0,72.0,73.0,75.0,76.0,74,74,3800000.0,26000.0
