Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
I. Rakitić,Croatia,FC Barcelona,CM ,29,2129,67.0,67.0,72.0,66.0,87.0,81.0,81.0,88.0,84.0,83.0,84.0,58.0,69.0,44.0,92.0,88.0,52.0,78.0,80.0,79.0,87.0,84.0,53.0,64.0,76.0,65.0,63.0,87.0,80.0,87,87,275000.0,48500000.0
M. Hamšík,Slovakia,Napoli,CM ,29,2184,72.0,56.0,76.0,66.0,87.0,84.0,78.0,80.0,86.0,78.0,72.0,74.0,72.0,71.0,82.0,83.0,60.0,70.0,88.0,88.0,88.0,82.0,62.0,75.0,85.0,73.0,69.0,86.0,79.0,87,87,130000.0,48500000.0
A. Vidal,Chile,FC Bayern Munich,CM CDM ,30,2278,76.0,93.0,75.0,77.0,83.0,86.0,76.0,76.0,76.0,77.0,68.0,81.0,85.0,82.0,82.0,85.0,76.0,81.0,80.0,89.0,84.0,86.0,85.0,74.0,91.0,89.0,77.0,80.0,78.0,87,87,160000.0,37500000.0
C. Eriksen,Denmark,Tottenham Hotspur,LM RM CAM ,25,2064,77.0,44.0,78.0,82.0,87.0,87.0,86.0,85.0,84.0,76.0,87.0,52.0,55.0,57.0,86.0,84.0,38.0,67.0,81.0,83.0,89.0,80.0,22.0,74.0,90.0,56.0,57.0,90.0,74.0,87,91,165000.0,65000000.0
P. Pogba,France,Manchester United,CDM CM ,24,2238,72.0,75.0,76.0,61.0,89.0,85.0,78.0,84.0,86.0,71.0,82.0,73.0,68.0,85.0,88.0,82.0,66.0,76.0,83.0,84.0,86.0,90.0,66.0,76.0,91.0,68.0,91.0,86.0,85.0,87,92,195000.0,66500000.0
M. Verratti,Italy,Paris Saint-Germain,CDM CM ,24,2154,69.0,89.0,87.0,94.0,88.0,91.0,72.0,73.0,90.0,58.0,64.0,55.0,86.0,64.0,89.0,58.0,76.0,64.0,71.0,87.0,90.0,56.0,79.0,62.0,77.0,84.0,56.0,88.0,64.0,87,91,130000.0,64500000.0
N. Kanté,France,Chelsea,CM CDM ,26,2154,82.0,90.0,83.0,90.0,79.0,84.0,67.0,49.0,77.0,65.0,49.0,54.0,91.0,79.0,79.0,66.0,75.0,54.0,71.0,87.0,84.0,72.0,85.0,80.0,94.0,89.0,77.0,76.0,56.0,87,90,190000.0,52500000.0
Javi Martínez,Spain,FC Bayern Munich,CDM CB ,28,1973,49.0,91.0,54.0,58.0,71.0,83.0,60.0,54.0,62.0,53.0,45.0,90.0,86.0,83.0,74.0,63.0,84.0,52.0,57.0,84.0,75.0,76.0,87.0,50.0,64.0,87.0,84.0,74.0,61.0,86,86,165000.0,36000000.0
Cesc Fàbregas,Spain,Chelsea,CAM CDM CM ,30,2118,65.0,45.0,65.0,77.0,86.0,92.0,85.0,77.0,80.0,76.0,81.0,74.0,50.0,68.0,90.0,75.0,60.0,80.0,78.0,81.0,91.0,77.0,62.0,62.0,80.0,63.0,64.0,91.0,81.0,86,86,210000.0,41000000.0
F. Ribéry,France,FC Bayern Munich,LW LM ,34,1965,85.0,52.0,88.0,91.0,90.0,86.0,81.0,83.0,90.0,76.0,81.0,41.0,36.0,34.0,75.0,75.0,13.0,78.0,81.0,86.0,86.0,76.0,26.0,79.0,64.0,25.0,60.0,86.0,80.0,86,86,175000.0,22500000.0
R. Nainggolan,Belgium,Roma,CAM CM ,29,2286,80.0,88.0,81.0,84.0,85.0,85.0,73.0,73.0,80.0,76.0,68.0,59.0,86.0,76.0,81.0,86.0,78.0,63.0,88.0,87.0,84.0,84.0,88.0,76.0,94.0,86.0,76.0,76.0,75.0,86,86,130000.0,42500000.0
M. Reus,Germany,Borussia Dortmund,LW ST LM ,28,2157,86.0,49.0,86.0,81.0,85.0,83.0,80.0,90.0,86.0,86.0,84.0,49.0,50.0,72.0,80.0,88.0,30.0,87.0,86.0,87.0,86.0,87.0,46.0,90.0,68.0,36.0,67.0,86.0,88.0,86,86,120000.0,45000000.0
Coutinho,Brazil,Liverpool,CAM LW ,25,2049,88.0,55.0,92.0,92.0,88.0,85.0,77.0,84.0,88.0,74.0,82.0,47.0,30.0,59.0,78.0,86.0,24.0,64.0,83.0,81.0,85.0,80.0,40.0,77.0,80.0,44.0,61.0,87.0,75.0,86,89,205000.0,56000000.0
Sergio Busquets,Spain,FC Barcelona,CM CDM ,28,1998,48.0,85.0,58.0,55.0,80.0,88.0,62.0,66.0,74.0,60.0,68.0,68.0,86.0,66.0,79.0,54.0,81.0,60.0,77.0,82.0,88.0,61.0,80.0,34.0,88.0,85.0,77.0,84.0,44.0,86,86,250000.0,36000000.0
T. Müller,Germany,FC Bayern Munich,ST CAM RW CF ,27,2078,76.0,57.0,76.0,72.0,82.0,83.0,77.0,81.0,75.0,87.0,59.0,82.0,58.0,81.0,68.0,77.0,31.0,60.0,93.0,92.0,81.0,77.0,44.0,78.0,90.0,41.0,67.0,81.0,83.0,86,86,190000.0,47500000.0
Alex Sandro,Brazil,Juventus,LM LB ,26,2207,84.0,82.0,79.0,79.0,81.0,82.0,86.0,78.0,82.0,55.0,59.0,76.0,82.0,79.0,71.0,72.0,78.0,60.0,70.0,86.0,81.0,80.0,84.0,88.0,93.0,84.0,80.0,70.0,68.0,86,88,175000.0,44000000.0
D. Alaba,Austria,FC Bayern Munich,CM CB LB ,25,2278,86.0,69.0,79.0,77.0,83.0,79.0,82.0,78.0,79.0,63.0,85.0,75.0,85.0,82.0,80.0,83.0,81.0,80.0,77.0,84.0,83.0,83.0,83.0,86.0,87.0,83.0,69.0,78.0,68.0,86,88,150000.0,44500000.0
Isco,Spain,Real Madrid CF,LM RM CAM CM ,25,2105,74.0,58.0,83.0,85.0,91.0,86.0,72.0,86.0,90.0,88.0,74.0,55.0,70.0,64.0,85.0,87.0,25.0,76.0,83.0,79.0,86.0,72.0,51.0,69.0,71.0,73.0,59.0,84.0,64.0,86,90,250000.0,56500000.0
J. Rodríguez,Colombia,FC Bayern Munich,RM CM CAM ,25,2118,77.0,65.0,82.0,75.0,85.0,87.0,88.0,87.0,83.0,82.0,86.0,62.0,55.0,54.0,80.0,91.0,25.0,81.0,80.0,84.0,84.0,86.0,30.0,75.0,68.0,42.0,70.0,86.0,91.0,86,89,250000.0,56000000.0
B. Matuidi,France,Juventus,CM CDM ,30,2172,79.0,85.0,76.0,79.0,77.0,82.0,75.0,65.0,73.0,65.0,52.0,73.0,85.0,84.0,79.0,66.0,83.0,56.0,68.0,84.0,84.0,74.0,81.0,78.0,94.0,84.0,78.0,75.0,72.0,85,85,145000.0,28500000.0
M. Pjanić,Bosnia Herzegovina,Juventus,CDM CM ,27,2172,74.0,68.0,79.0,79.0,89.0,84.0,80.0,86.0,86.0,61.0,91.0,60.0,74.0,61.0,85.0,82.0,62.0,79.0,70.0,84.0,89.0,78.0,66.0,74.0,78.0,70.0,65.0,88.0,72.0,85,86,160000.0,43500000.0
C. Marchisio,Italy,Juventus,CDM CM ,31,2210,78.0,78.0,81.0,79.0,85.0,84.0,76.0,78.0,84.0,61.0,78.0,68.0,80.0,68.0,85.0,82.0,72.0,78.0,80.0,86.0,87.0,82.0,80.0,78.0,81.0,78.0,70.0,84.0,76.0,85,85,160000.0,33000000.0
I. Gündoğan,Germany,Manchester City,CDM CM ,26,2148,73.0,68.0,83.0,81.0,88.0,86.0,74.0,81.0,87.0,72.0,74.0,49.0,79.0,62.0,83.0,74.0,57.0,76.0,79.0,87.0,88.0,77.0,64.0,70.0,71.0,67.0,74.0,87.0,75.0,85,87,190000.0,46000000.0
Casemiro,Brazil,Real Madrid CF,CDM ,25,2138,63.0,87.0,66.0,57.0,78.0,86.0,52.0,59.0,69.0,59.0,74.0,74.0,86.0,87.0,84.0,77.0,83.0,66.0,66.0,83.0,82.0,86.0,86.0,61.0,85.0,87.0,85.0,76.0,53.0,85,89,195000.0,42000000.0
H. Mkhitaryan,Armenia,Manchester United,LM RW RM ,28,2148,88.0,69.0,89.0,85.0,87.0,79.0,79.0,83.0,87.0,77.0,64.0,53.0,64.0,71.0,72.0,75.0,49.0,72.0,82.0,82.0,84.0,87.0,55.0,84.0,86.0,53.0,63.0,85.0,81.0,85,85,195000.0,39000000.0
Y. Carrasco,Belgium,Atlético Madrid,RM LM ,23,1991,87.0,61.0,91.0,71.0,86.0,75.0,80.0,81.0,91.0,79.0,78.0,53.0,18.0,68.0,74.0,75.0,19.0,74.0,82.0,83.0,79.0,84.0,26.0,89.0,73.0,39.0,59.0,74.0,68.0,85,90,77000.0,51500000.0
Willian,Brazil,Chelsea,CAM RM RW ,28,2061,91.0,44.0,89.0,81.0,86.0,79.0,77.0,82.0,87.0,77.0,85.0,29.0,55.0,46.0,77.0,81.0,43.0,70.0,80.0,83.0,82.0,71.0,51.0,86.0,87.0,58.0,62.0,83.0,59.0,84,84,200000.0,31500000.0
S. Khedira,Germany,Juventus,CDM CM ,30,2157,60.0,82.0,59.0,52.0,81.0,84.0,72.0,68.0,78.0,69.0,68.0,76.0,86.0,68.0,81.0,78.0,76.0,69.0,80.0,86.0,85.0,82.0,78.0,68.0,78.0,82.0,89.0,82.0,76.0,84,84,160000.0,29000000.0
Bruno,Spain,Villarreal CF,CDM CM ,33,2059,42.0,79.0,53.0,59.0,83.0,86.0,60.0,72.0,75.0,66.0,77.0,61.0,85.0,66.0,86.0,81.0,70.0,75.0,69.0,84.0,87.0,84.0,85.0,41.0,76.0,84.0,77.0,83.0,48.0,84,84,59000.0,18500000.0
Juan Mata,Spain,Manchester United,RM CAM ,29,1982,71.0,52.0,85.0,89.0,87.0,85.0,84.0,84.0,82.0,79.0,84.0,59.0,39.0,72.0,77.0,70.0,25.0,81.0,83.0,84.0,86.0,75.0,21.0,63.0,75.0,28.0,43.0,87.0,71.0,84,84,195000.0,30500000.0
D. Payet,France,Olympique de Marseille,CAM LW ,30,2076,79.0,57.0,79.0,81.0,90.0,86.0,86.0,90.0,89.0,76.0,91.0,59.0,37.0,48.0,84.0,83.0,29.0,76.0,79.0,76.0,86.0,78.0,39.0,72.0,73.0,36.0,76.0,87.0,79.0,84,84,60000.0,29500000.0
I. Perišić,Croatia,Inter,CAM LM ,28,2078,81.0,59.0,78.0,67.0,83.0,80.0,84.0,73.0,83.0,79.0,76.0,78.0,42.0,82.0,72.0,80.0,26.0,76.0,84.0,80.0,78.0,83.0,45.0,87.0,86.0,45.0,75.0,78.0,80.0,84,84,110000.0,31500000.0
K. Strootman,Netherlands,Roma,CDM CM ,27,2165,65.0,86.0,65.0,68.0,85.0,85.0,74.0,75.0,76.0,68.0,74.0,68.0,84.0,53.0,83.0,78.0,72.0,77.0,78.0,84.0,86.0,85.0,75.0,68.0,82.0,83.0,83.0,84.0,63.0,84,85,105000.0,35000000.0
J. Draxler,Germany,Paris Saint-Germain,LM CAM LW ,23,2017,76.0,48.0,81.0,75.0,87.0,81.0,83.0,78.0,88.0,78.0,75.0,65.0,36.0,76.0,77.0,81.0,25.0,63.0,79.0,83.0,84.0,86.0,26.0,79.0,68.0,35.0,67.0,84.0,84.0,84,87,120000.0,39500000.0
Ander Herrera,Spain,Manchester United,CDM CM ,27,2213,76.0,86.0,84.0,82.0,86.0,84.0,74.0,80.0,81.0,71.0,65.0,60.0,86.0,63.0,80.0,72.0,80.0,79.0,78.0,85.0,86.0,72.0,76.0,70.0,87.0,78.0,70.0,84.0,69.0,84,84,190000.0,32000000.0
Marco Asensio,Spain,Real Madrid CF,LW LM RM CAM ,21,1998,79.0,45.0,78.0,76.0,86.0,82.0,79.0,83.0,83.0,82.0,76.0,50.0,45.0,57.0,81.0,87.0,29.0,62.0,72.0,78.0,86.0,84.0,39.0,77.0,73.0,42.0,61.0,83.0,75.0,84,92,175000.0,46000000.0
Bernardo Silva,Portugal,Manchester City,RM ,22,2012,85.0,58.0,88.0,86.0,89.0,84.0,79.0,79.0,91.0,76.0,63.0,51.0,49.0,53.0,78.0,64.0,46.0,64.0,77.0,84.0,84.0,72.0,35.0,78.0,80.0,44.0,54.0,85.0,66.0,84,91,165000.0,43500000.0
D. Alli,England,Tottenham Hotspur,LM CF CAM ,21,2122,77.0,84.0,74.0,62.0,85.0,86.0,68.0,71.0,83.0,84.0,53.0,75.0,67.0,69.0,76.0,79.0,60.0,68.0,86.0,85.0,83.0,77.0,57.0,76.0,89.0,63.0,71.0,83.0,76.0,84,90,115000.0,43000000.0
Koke,Spain,Atlético Madrid,LM RM CM ,25,2129,72.0,71.0,77.0,78.0,86.0,75.0,84.0,85.0,80.0,71.0,76.0,61.0,64.0,61.0,85.0,81.0,63.0,59.0,80.0,84.0,86.0,84.0,51.0,69.0,81.0,66.0,75.0,89.0,56.0,84,88,84000.0,39500000.0
A. Lallana,England,Liverpool,CM ,29,2141,74.0,74.0,83.0,76.0,86.0,80.0,74.0,77.0,85.0,79.0,66.0,67.0,68.0,73.0,77.0,72.0,60.0,70.0,77.0,78.0,86.0,72.0,62.0,72.0,90.0,67.0,67.0,83.0,72.0,83,83,135000.0,25000000.0
M. Schneiderlin,France,Everton,CM CDM ,27,2078,67.0,83.0,73.0,71.0,84.0,83.0,65.0,68.0,74.0,61.0,61.0,71.0,84.0,70.0,80.0,56.0,76.0,56.0,65.0,81.0,86.0,71.0,80.0,68.0,89.0,82.0,77.0,73.0,56.0,83,85,115000.0,25500000.0
E. Banega,Argentina,Sevilla FC,CM CAM ,29,2086,71.0,69.0,84.0,86.0,85.0,82.0,80.0,83.0,83.0,65.0,81.0,45.0,70.0,58.0,85.0,77.0,57.0,67.0,75.0,78.0,88.0,74.0,61.0,67.0,66.0,69.0,67.0,85.0,65.0,83,83,27000.0,25500000.0
M. Mandžukić,Croatia,Juventus,LM ST ,31,2104,68.0,88.0,67.0,53.0,77.0,80.0,72.0,64.0,74.0,84.0,49.0,90.0,66.0,85.0,65.0,58.0,56.0,76.0,89.0,86.0,75.0,78.0,64.0,76.0,87.0,64.0,87.0,74.0,86.0,83,83,135000.0,23500000.0
N. Gaitán,Argentina,Atlético Madrid,LM ,29,2006,84.0,57.0,87.0,81.0,84.0,80.0,82.0,88.0,85.0,73.0,72.0,54.0,40.0,68.0,78.0,74.0,30.0,71.0,79.0,84.0,81.0,72.0,43.0,79.0,69.0,42.0,46.0,82.0,81.0,83,83,70000.0,25500000.0
Adrien Silva,Portugal,,CDM CM ,28,2174,64.0,79.0,73.0,67.0,85.0,82.0,78.0,79.0,82.0,71.0,75.0,61.0,84.0,56.0,84.0,80.0,80.0,85.0,75.0,77.0,83.0,83.0,73.0,65.0,89.0,78.0,62.0,85.0,75.0,83,83,0.0,0.0
Oscar,Brazil,,CAM ,25,1961,75.0,31.0,86.0,80.0,84.0,83.0,70.0,77.0,81.0,75.0,77.0,54.0,34.0,66.0,78.0,77.0,37.0,68.0,81.0,81.0,83.0,76.0,47.0,74.0,76.0,50.0,36.0,83.0,63.0,83,86,0.0,0.0
W. Sneijder,Netherlands,OGC Nice,CAM ,33,1976,70.0,55.0,77.0,85.0,85.0,83.0,86.0,88.0,82.0,72.0,86.0,32.0,45.0,30.0,86.0,84.0,32.0,76.0,74.0,77.0,84.0,86.0,37.0,69.0,62.0,41.0,57.0,88.0,80.0,83,83,47000.0,15500000.0
Y. Touré,Ivory Coast,Manchester City,CDM CM ,34,2161,61.0,78.0,58.0,56.0,82.0,83.0,67.0,82.0,78.0,82.0,86.0,72.0,60.0,63.0,81.0,80.0,68.0,89.0,80.0,82.0,84.0,86.0,74.0,64.0,73.0,77.0,92.0,85.0,68.0,83,83,145000.0,12500000.0
Quaresma,Portugal,Beşiktaş JK,LM RM ,33,1962,85.0,62.0,91.0,84.0,87.0,79.0,88.0,92.0,89.0,70.0,78.0,41.0,24.0,63.0,75.0,83.0,10.0,74.0,75.0,78.0,79.0,83.0,13.0,82.0,69.0,17.0,54.0,80.0,80.0,83,83,67000.0,15500000.0
D. De Rossi,Italy,Roma,CDM ,33,2115,69.0,84.0,68.0,72.0,78.0,84.0,57.0,62.0,64.0,50.0,71.0,81.0,87.0,78.0,82.0,74.0,75.0,75.0,55.0,80.0,82.0,81.0,82.0,68.0,78.0,84.0,83.0,72.0,74.0,83,83,73000.0,10500000.0
Nani,Portugal,Lazio,LM CAM RW LW ,30,1949,84.0,62.0,92.0,77.0,86.0,79.0,82.0,86.0,87.0,75.0,79.0,46.0,31.0,39.0,79.0,83.0,15.0,72.0,77.0,80.0,81.0,85.0,20.0,78.0,74.0,22.0,62.0,80.0,75.0,83,83,47000.0,24500000.0
J. Mascherano,Argentina,FC Barcelona,CDM CB ,33,1984,67.0,88.0,72.0,78.0,80.0,86.0,63.0,63.0,58.0,42.0,50.0,68.0,88.0,75.0,75.0,55.0,81.0,60.0,51.0,83.0,79.0,76.0,82.0,64.0,76.0,83.0,74.0,68.0,51.0,83,83,155000.0,10500000.0
M. Dembélé,Belgium,Tottenham Hotspur,CDM CM ,29,2186,75.0,74.0,82.0,74.0,86.0,89.0,65.0,65.0,88.0,66.0,55.0,69.0,80.0,77.0,81.0,72.0,70.0,67.0,71.0,80.0,86.0,85.0,75.0,77.0,77.0,80.0,92.0,79.0,73.0,83,83,115000.0,25000000.0
Santi Cazorla,Spain,Arsenal,CDM CM ,32,2120,68.0,64.0,79.0,91.0,87.0,88.0,85.0,86.0,85.0,75.0,78.0,58.0,65.0,70.0,83.0,78.0,58.0,80.0,79.0,82.0,86.0,77.0,52.0,63.0,68.0,64.0,59.0,86.0,72.0,83,83,130000.0,19500000.0
L. Biglia,Argentina,Milan,CM CDM ,31,2129,70.0,83.0,76.0,78.0,85.0,80.0,74.0,71.0,77.0,50.0,76.0,54.0,84.0,62.0,84.0,75.0,70.0,72.0,55.0,82.0,86.0,77.0,78.0,68.0,82.0,80.0,70.0,80.0,78.0,83,83,105000.0,17500000.0
Borja Valero,Spain,Inter,CF CM CAM ,32,2089,73.0,52.0,80.0,82.0,88.0,80.0,78.0,78.0,86.0,67.0,76.0,60.0,70.0,67.0,86.0,70.0,58.0,72.0,76.0,84.0,89.0,72.0,62.0,67.0,74.0,66.0,66.0,86.0,70.0,83,83,80000.0,20000000.0
S. N'Zonzi,France,Sevilla FC,CM CDM ,28,2032,52.0,87.0,43.0,31.0,82.0,85.0,59.0,73.0,72.0,64.0,42.0,79.0,85.0,75.0,78.0,66.0,75.0,57.0,70.0,82.0,82.0,79.0,78.0,61.0,86.0,83.0,91.0,77.0,55.0,83,83,25000.0,21000000.0
William Carvalho,Portugal,Sporting CP,CM CDM ,25,1967,52.0,75.0,45.0,50.0,78.0,89.0,66.0,77.0,79.0,56.0,50.0,73.0,84.0,68.0,86.0,58.0,77.0,60.0,62.0,74.0,84.0,59.0,71.0,53.0,84.0,85.0,88.0,78.0,50.0,83,86,21000.0,27500000.0
E. Forsberg,Sweden,RB Leipzig,LM CAM ,25,1949,78.0,62.0,85.0,83.0,85.0,79.0,86.0,81.0,82.0,72.0,77.0,45.0,43.0,53.0,70.0,80.0,23.0,64.0,77.0,80.0,86.0,75.0,17.0,72.0,76.0,26.0,63.0,86.0,67.0,83,85,75000.0,31500000.0
Fabinho,Brazil,AS Monaco,CDM ,23,2114,73.0,83.0,71.0,69.0,80.0,80.0,79.0,71.0,75.0,66.0,45.0,75.0,83.0,77.0,74.0,53.0,79.0,91.0,68.0,79.0,82.0,75.0,85.0,75.0,89.0,88.0,80.0,72.0,30.0,83,88,37000.0,29500000.0
T. Lemar,France,AS Monaco,LM ,21,2171,86.0,63.0,85.0,84.0,86.0,79.0,82.0,81.0,88.0,78.0,81.0,54.0,66.0,72.0,71.0,76.0,63.0,68.0,76.0,76.0,82.0,82.0,63.0,84.0,79.0,59.0,69.0,82.0,75.0,83,91,37000.0,38500000.0
N. Keïta,Guinea,RB Leipzig,CAM CDM CM ,22,2055,82.0,77.0,90.0,90.0,88.0,79.0,62.0,63.0,90.0,74.0,47.0,42.0,79.0,56.0,78.0,66.0,55.0,58.0,74.0,84.0,88.0,76.0,61.0,66.0,88.0,63.0,59.0,81.0,59.0,83,88,68000.0,34000000.0
O. Dembélé,France,FC Barcelona,CAM LW RW ,20,1969,93.0,54.0,90.0,85.0,85.0,73.0,77.0,78.0,92.0,77.0,65.0,43.0,36.0,59.0,68.0,65.0,29.0,75.0,78.0,82.0,74.0,82.0,33.0,89.0,74.0,30.0,47.0,84.0,76.0,83,92,150000.0,40000000.0
R. Mahrez,Algeria,Leicester City,RM ,26,1935,85.0,40.0,92.0,85.0,88.0,82.0,81.0,79.0,88.0,74.0,75.0,45.0,38.0,62.0,74.0,72.0,25.0,72.0,79.0,75.0,78.0,76.0,19.0,80.0,75.0,23.0,51.0,79.0,71.0,83,84,88000.0,30500000.0
João Mário,Portugal,Inter,CAM CM ,24,2098,71.0,61.0,81.0,70.0,85.0,85.0,77.0,74.0,84.0,66.0,67.0,55.0,78.0,63.0,78.0,73.0,67.0,66.0,80.0,82.0,83.0,77.0,61.0,75.0,84.0,75.0,69.0,82.0,69.0,83,88,70000.0,34000000.0
Roberto Firmino,Brazil,Liverpool,CAM CF ST ,25,2101,77.0,66.0,82.0,81.0,85.0,78.0,72.0,80.0,87.0,83.0,67.0,72.0,37.0,81.0,75.0,80.0,30.0,72.0,84.0,82.0,83.0,79.0,42.0,77.0,86.0,59.0,76.0,83.0,79.0,83,87,135000.0,34000000.0
Danilo Pereira,Portugal,FC Porto,CM CB CDM ,25,2029,67.0,88.0,58.0,60.0,77.0,84.0,50.0,48.0,76.0,56.0,53.0,76.0,85.0,67.0,79.0,64.0,80.0,52.0,69.0,76.0,82.0,77.0,78.0,68.0,87.0,85.0,89.0,69.0,55.0,83,86,18000.0,27500000.0
S. Kagawa,Japan,Borussia Dortmund,CF CAM ,28,1874,76.0,30.0,92.0,88.0,85.0,81.0,60.0,74.0,87.0,76.0,63.0,42.0,56.0,66.0,73.0,55.0,30.0,78.0,80.0,81.0,84.0,56.0,27.0,65.0,80.0,24.0,39.0,82.0,75.0,83,83,75000.0,26000000.0
Parejo,Spain,Valencia CF,CDM CAM CM ,28,2089,55.0,48.0,69.0,72.0,83.0,74.0,84.0,87.0,81.0,75.0,90.0,63.0,68.0,55.0,87.0,80.0,59.0,83.0,79.0,79.0,90.0,80.0,51.0,50.0,76.0,61.0,72.0,85.0,72.0,83,83,45000.0,25500000.0
J. Pastore,Argentina,Paris Saint-Germain,RW LW CM ,28,2066,69.0,65.0,79.0,58.0,87.0,79.0,77.0,83.0,88.0,73.0,69.0,63.0,69.0,49.0,83.0,76.0,49.0,75.0,78.0,83.0,87.0,78.0,51.0,72.0,67.0,59.0,64.0,86.0,78.0,83,83,100000.0,25500000.0
N. Matić,Serbia,Manchester United,CM CDM ,28,2120,62.0,83.0,56.0,53.0,78.0,84.0,68.0,68.0,72.0,64.0,67.0,77.0,85.0,71.0,78.0,75.0,75.0,69.0,68.0,82.0,83.0,78.0,75.0,66.0,89.0,83.0,89.0,75.0,74.0,83,83,140000.0,21000000.0
G. Bonaventura,Italy,Milan,LW CM ,27,2197,78.0,68.0,81.0,77.0,85.0,82.0,82.0,78.0,83.0,70.0,78.0,60.0,72.0,69.0,80.0,86.0,60.0,68.0,78.0,82.0,84.0,84.0,68.0,78.0,87.0,72.0,69.0,82.0,78.0,83,83,115000.0,26500000.0
I. Gueye,Senegal,Everton,CM CDM ,27,2045,78.0,84.0,75.0,82.0,79.0,80.0,60.0,33.0,75.0,50.0,43.0,69.0,87.0,85.0,74.0,67.0,80.0,54.0,67.0,79.0,82.0,80.0,85.0,75.0,88.0,87.0,76.0,72.0,32.0,83,84,115000.0,24500000.0
Vitolo,Spain,UD Las Palmas,RM LM ,27,1983,81.0,61.0,75.0,63.0,85.0,70.0,80.0,76.0,86.0,79.0,62.0,65.0,25.0,70.0,82.0,73.0,25.0,74.0,80.0,80.0,81.0,77.0,23.0,79.0,81.0,21.0,81.0,78.0,75.0,83,83,68000.0,27000000.0
