Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
33,1236,84.0,82.0,74.0,76.0,80.0,80,80,7500000.0,59000.0
34,1259,80.0,78.0,66.0,78.0,84.0,80,80,6000000.0,44000.0
34,1373,76.0,76.0,72.0,77.0,84.0,80,80,6000000.0,40000.0
33,1194,82.0,80.0,64.0,78.0,82.0,80,80,7500000.0,48000.0
34,1241,79.0,79.0,73.0,77.0,84.0,80,80,6000000.0,60000.0
24,1203,84.0,74.0,74.0,76.0,85.0,80,84,14000000.0,71000.0
22,1207,78.0,81.0,75.0,76.0,83.0,80,87,15500000.0,20000.0
24,1194,75.0,76.0,70.0,78.0,86.0,80,84,14000000.0,45000.0
27,1275,84.0,80.0,74.0,74.0,83.0,80,80,10000000.0,30000.0
31,1292,80.0,72.0,74.0,78.0,82.0,79,79,7500000.0,28000.0
29,1358,78.0,80.0,79.0,77.0,79.0,79,80,10000000.0,48000.0
28,1159,83.0,71.0,78.0,77.0,84.0,79,79,9000000.0,91000.0
26,1276,80.0,76.0,77.0,78.0,82.0,79,82,11000000.0,17000.0
29,1195,82.0,75.0,73.0,79.0,82.0,79,79,8500000.0,27000.0
28,1228,80.0,77.0,68.0,81.0,80.0,79,80,10000000.0,28000.0
28,1155,79.0,80.0,70.0,77.0,79.0,79,80,10000000.0,27000.0
31,1206,76.0,69.0,78.0,78.0,87.0,79,79,7500000.0,18000.0
33,1302,78.0,76.0,72.0,75.0,83.0,79,79,6500000.0,74000.0
35,1241,80.0,76.0,73.0,78.0,81.0,79,79,3000000.0,59000.0
36,1253,79.0,75.0,60.0,77.0,84.0,79,79,1700000.0,33000.0
32,1167,78.0,77.0,70.0,80.0,80.0,79,79,7000000.0,28000.0
38,1160,80.0,80.0,65.0,82.0,80.0,79,79,850000.0,12000.0
31,1205,77.0,72.0,78.0,82.0,83.0,79,79,7500000.0,42000.0
30,1191,79.0,76.0,73.0,77.0,80.0,79,79,8000000.0,41000.0
28,1205,82.0,75.0,72.0,78.0,82.0,79,82,11000000.0,23000.0
23,1285,78.0,75.0,75.0,80.0,82.0,79,85,12500000.0,26000.0
26,1186,78.0,79.0,73.0,76.0,81.0,79,82,11000000.0,40000.0
30,1246,81.0,76.0,69.0,75.0,82.0,79,79,8000000.0,80000.0
24,1266,81.0,77.0,70.0,74.0,83.0,79,86,13000000.0,54000.0
22,1268,76.0,77.0,75.0,79.0,77.0,78,83,10000000.0,19000.0
38,1210,76.0,74.0,72.0,77.0,78.0,78,78,700000.0,5000.0
33,1172,78.0,75.0,69.0,79.0,79.0,78,78,5000000.0,13000.0
29,1270,73.0,75.0,74.0,80.0,81.0,78,79,8000000.0,45000.0
26,1376,83.0,69.0,62.0,77.0,82.0,78,80,8500000.0,11000.0
31,1359,81.0,70.0,70.0,78.0,82.0,78,78,6500000.0,14000.0
31,1185,82.0,73.0,70.0,77.0,78.0,78,78,6500000.0,33000.0
36,1163,76.0,77.0,68.0,76.0,82.0,78,78,1400000.0,23000.0
26,1131,77.0,76.0,74.0,77.0,81.0,78,80,8500000.0,17000.0
25,1223,80.0,69.0,74.0,75.0,82.0,78,81,9000000.0,42000.0
26,1376,83.0,69.0,62.0,77.0,82.0,78,80,8500000.0,11000.0
25,1234,80.0,76.0,68.0,77.0,81.0,78,82,9500000.0,22000.0
25,1171,78.0,73.0,65.0,77.0,85.0,78,80,9000000.0,43000.0
22,1268,76.0,77.0,75.0,79.0,77.0,78,83,10000000.0,19000.0
26,1089,78.0,74.0,79.0,76.0,80.0,78,83,9500000.0,22000.0
28,1081,79.0,76.0,67.0,78.0,81.0,78,79,8500000.0,24000.0
30,1198,80.0,73.0,66.0,77.0,81.0,78,78,6500000.0,11000.0
26,1131,77.0,76.0,74.0,77.0,81.0,78,80,8500000.0,17000.0
29,1270,73.0,75.0,74.0,80.0,81.0,78,79,8000000.0,45000.0
31,1206,77.0,75.0,74.0,79.0,80.0,78,78,6500000.0,20000.0
29,1165,77.0,75.0,74.0,76.0,76.0,77,77,6000000.0,12000.0
29,1178,74.0,78.0,69.0,76.0,80.0,77,78,7000000.0,61000.0
36,1069,72.0,80.0,53.0,81.0,77.0,77,77,1200000.0,26000.0
34,1285,80.0,72.0,73.0,76.0,81.0,77,77,3600000.0,10000.0
30,1181,77.0,72.0,75.0,78.0,80.0,77,77,5500000.0,20000.0
31,1138,78.0,72.0,66.0,76.0,82.0,77,77,5500000.0,7000.0
33,1168,77.0,76.0,64.0,79.0,78.0,77,77,4500000.0,15000.0
25,1208,77.0,73.0,63.0,80.0,76.0,77,81,8000000.0,19000.0
30,1113,76.0,73.0,67.0,78.0,79.0,77,77,5500000.0,6000.0
23,1190,79.0,68.0,66.0,77.0,84.0,77,83,9000000.0,1000.0
29,1210,77.0,69.0,68.0,74.0,83.0,77,77,6000000.0,40000.0
27,1122,81.0,73.0,58.0,74.0,80.0,77,79,7000000.0,19000.0
29,1155,77.0,75.0,74.0,76.0,76.0,77,77,6000000.0,18000.0
35,1183,75.0,77.0,72.0,80.0,75.0,77,77,2100000.0,9000.0
29,1242,77.0,77.0,69.0,75.0,77.0,77,78,7000000.0,54000.0
28,1195,76.0,78.0,77.0,75.0,78.0,77,77,6000000.0,19000.0
22,1143,77.0,71.0,65.0,77.0,80.0,77,83,9000000.0,9000.0
37,1172,77.0,73.0,62.0,77.0,82.0,77,77,600000.0,32000.0
37,1152,76.0,72.0,75.0,78.0,80.0,77,77,600000.0,12000.0
30,1133,75.0,69.0,71.0,78.0,82.0,77,77,5500000.0,24000.0
29,1304,77.0,74.0,67.0,74.0,82.0,77,77,6000000.0,28000.0
36,1129,69.0,79.0,80.0,85.0,70.0,77,77,1200000.0,13000.0
33,1195,76.0,80.0,61.0,79.0,73.0,77,77,4500000.0,27000.0
28,1206,79.0,75.0,74.0,77.0,80.0,77,78,7000000.0,32000.0
25,1128,77.0,74.0,70.0,77.0,75.0,76,76,5500000.0,16000.0
27,1258,81.0,72.0,74.0,71.0,77.0,76,78,6000000.0,21000.0
29,1324,76.0,77.0,77.0,76.0,74.0,76,76,5000000.0,21000.0
25,1107,71.0,77.0,76.0,72.0,77.0,76,76,5500000.0,14000.0
26,1049,75.0,74.0,67.0,76.0,81.0,76,79,6500000.0,20000.0
29,1194,76.0,83.0,66.0,75.0,73.0,76,76,5000000.0,21000.0
33,1209,78.0,79.0,66.0,78.0,73.0,76,76,3900000.0,18000.0
40,1200,78.0,76.0,66.0,75.0,78.0,76,76,525000.0,38000.0
34,1127,77.0,76.0,66.0,76.0,78.0,76,76,3100000.0,16000.0
24,1183,78.0,67.0,70.0,75.0,80.0,76,81,7500000.0,9000.0
28,1174,80.0,75.0,54.0,65.0,84.0,76,76,5500000.0,25000.0
36,1159,76.0,77.0,66.0,78.0,75.0,76,76,1000000.0,17000.0
25,1129,79.0,77.0,62.0,70.0,77.0,76,79,7000000.0,43000.0
28,1074,80.0,73.0,51.0,73.0,77.0,76,76,5500000.0,68000.0
24,1179,78.0,74.0,66.0,72.0,79.0,76,82,7500000.0,10000.0
37,1086,75.0,76.0,77.0,76.0,77.0,76,76,525000.0,13000.0
26,1140,80.0,75.0,54.0,75.0,81.0,76,79,6500000.0,46000.0
30,1308,80.0,71.0,68.0,72.0,79.0,76,76,4900000.0,26000.0
35,1169,74.0,71.0,78.0,76.0,79.0,76,76,1800000.0,12000.0
27,1172,74.0,78.0,75.0,70.0,79.0,76,77,6000000.0,45000.0
27,1180,79.0,74.0,76.0,69.0,83.0,76,78,6000000.0,45000.0
35,1261,77.0,73.0,76.0,77.0,74.0,76,76,1800000.0,32000.0
25,1113,71.0,77.0,76.0,72.0,77.0,76,76,5500000.0,7000.0
25,1151,77.0,74.0,70.0,77.0,75.0,76,76,5500000.0,7000.0
26,1201,76.0,73.0,69.0,78.0,83.0,76,79,6500000.0,1000.0
34,1269,77.0,75.0,73.0,76.0,78.0,76,76,3100000.0,1000.0
30,1142,73.0,76.0,67.0,78.0,77.0,76,76,4900000.0,43000.0
35,1202,79.0,69.0,79.0,75.0,75.0,76,76,1800000.0,11000.0
30,1111,75.0,75.0,73.0,77.0,74.0,76,77,5500000.0,45000.0
27,1201,76.0,72.0,66.0,74.0,79.0,76,78,6000000.0,11000.0
31,1123,72.0,71.0,62.0,82.0,78.0,76,76,4700000.0,13000.0
25,1197,73.0,78.0,65.0,73.0,77.0,76,79,7000000.0,11000.0
27,1197,75.0,70.0,77.0,75.0,79.0,75,77,5500000.0,17000.0
29,1332,75.0,74.0,69.0,76.0,76.0,75,75,0.0,0.0
26,1308,74.0,73.0,70.0,72.0,79.0,75,79,6000000.0,21000.0
33,1100,77.0,76.0,61.0,72.0,73.0,75,75,3400000.0,21000.0
23,1210,79.0,73.0,68.0,71.0,78.0,75,82,7000000.0,31000.0
34,1200,76.0,72.0,72.0,74.0,77.0,75,75,2700000.0,8000.0
28,1316,78.0,75.0,77.0,71.0,77.0,75,78,6000000.0,14000.0
32,1233,77.0,71.0,70.0,75.0,77.0,75,75,3800000.0,38000.0
36,1209,77.0,72.0,70.0,72.0,74.0,75,75,900000.0,5000.0
27,1216,76.0,73.0,61.0,74.0,78.0,75,77,5500000.0,49000.0
33,1173,76.0,70.0,77.0,75.0,75.0,75,75,3400000.0,5000.0
21,1166,79.0,74.0,69.0,75.0,71.0,75,83,7500000.0,12000.0
33,1169,73.0,71.0,71.0,76.0,75.0,75,75,3400000.0,32000.0
31,1176,78.0,72.0,63.0,73.0,76.0,75,75,4000000.0,7000.0
21,1246,74.0,73.0,63.0,70.0,84.0,75,83,7500000.0,14000.0
29,1275,78.0,72.0,69.0,70.0,77.0,75,76,5000000.0,8000.0
25,1173,74.0,72.0,79.0,72.0,75.0,75,78,6000000.0,9000.0
33,1213,77.0,74.0,72.0,73.0,76.0,75,75,3400000.0,36000.0
28,1070,77.0,70.0,69.0,73.0,80.0,75,76,5500000.0,15000.0
31,1142,76.0,72.0,68.0,77.0,74.0,75,75,4000000.0,8000.0
34,1115,77.0,74.0,63.0,76.0,74.0,75,75,2700000.0,7000.0
25,1183,80.0,68.0,70.0,75.0,77.0,75,79,6000000.0,40000.0
30,1135,76.0,68.0,72.0,76.0,77.0,75,75,4300000.0,30000.0
25,1104,75.0,74.0,71.0,69.0,77.0,75,78,6000000.0,17000.0
34,1157,75.0,74.0,70.0,72.0,76.0,75,75,2700000.0,20000.0
35,1073,77.0,70.0,60.0,76.0,79.0,75,75,1600000.0,22000.0
27,1125,77.0,66.0,67.0,69.0,80.0,75,77,5500000.0,25000.0
39,1193,74.0,76.0,67.0,79.0,72.0,75,75,450000.0,11000.0
33,1100,77.0,76.0,61.0,72.0,73.0,75,75,3400000.0,3000.0
28,1070,74.0,77.0,67.0,71.0,77.0,75,76,5500000.0,21000.0
33,1225,73.0,75.0,77.0,72.0,77.0,75,75,3400000.0,17000.0
34,1245,75.0,74.0,71.0,78.0,75.0,75,75,2700000.0,64000.0
33,1173,76.0,70.0,77.0,75.0,75.0,75,75,3400000.0,12000.0
29,1183,75.0,73.0,69.0,71.0,78.0,75,75,4500000.0,28000.0
28,1233,77.0,75.0,65.0,70.0,77.0,75,76,5500000.0,5000.0
34,1166,76.0,73.0,79.0,72.0,75.0,75,75,2700000.0,60000.0
30,1148,76.0,70.0,65.0,77.0,78.0,75,75,4300000.0,9000.0
26,1146,81.0,70.0,71.0,70.0,86.0,75,80,6500000.0,7000.0
25,1156,74.0,69.0,66.0,76.0,79.0,75,79,6000000.0,22000.0
32,1147,75.0,70.0,77.0,71.0,78.0,75,75,3800000.0,22000.0
29,1273,75.0,72.0,71.0,71.0,76.0,75,75,4500000.0,27000.0
27,1192,77.0,69.0,68.0,72.0,72.0,74,76,0.0,0.0
28,1153,77.0,73.0,52.0,70.0,78.0,74,75,4500000.0,18000.0
29,1206,74.0,70.0,75.0,69.0,77.0,74,74,3800000.0,18000.0
25,1305,74.0,74.0,66.0,68.0,79.0,74,79,5500000.0,8000.0
25,1044,68.0,76.0,74.0,77.0,73.0,74,74,4000000.0,24000.0
34,1103,73.0,72.0,52.0,78.0,74.0,74,74,2300000.0,9000.0
22,1099,74.0,70.0,73.0,69.0,80.0,74,84,7000000.0,25000.0
29,1120,71.0,72.0,73.0,75.0,76.0,74,74,3800000.0,26000.0
33,1220,71.0,73.0,76.0,77.0,72.0,74,74,2800000.0,20000.0
28,1184,75.0,74.0,69.0,70.0,75.0,74,75,4500000.0,13000.0
27,1208,75.0,73.0,71.0,73.0,74.0,74,77,4700000.0,38000.0
25,1188,78.0,65.0,75.0,66.0,79.0,74,75,4600000.0,9000.0
35,1153,77.0,71.0,70.0,75.0,79.0,74,74,1300000.0,12000.0
29,1229,74.0,70.0,67.0,77.0,75.0,74,74,3800000.0,23000.0
27,1111,78.0,71.0,67.0,71.0,78.0,74,75,4400000.0,17000.0
35,1008,74.0,72.0,64.0,74.0,73.0,74,74,1300000.0,8000.0
33,1123,74.0,68.0,65.0,78.0,76.0,74,74,2800000.0,38000.0
31,1038,74.0,74.0,63.0,76.0,74.0,74,74,3400000.0,38000.0
23,1165,74.0,72.0,72.0,77.0,75.0,74,80,5500000.0,31000.0
27,1122,69.0,75.0,71.0,72.0,76.0,74,76,4600000.0,16000.0
24,1129,77.0,74.0,61.0,69.0,79.0,74,80,5500000.0,45000.0
31,1123,74.0,69.0,79.0,69.0,77.0,74,74,3400000.0,21000.0
30,1131,71.0,75.0,71.0,73.0,76.0,74,74,0.0,0.0
29,1134,73.0,72.0,67.0,73.0,76.0,74,74,3800000.0,16000.0
32,1165,74.0,70.0,66.0,72.0,74.0,74,74,3200000.0,12000.0
36,1245,70.0,77.0,77.0,71.0,72.0,74,74,0.0,0.0
31,1139,78.0,69.0,67.0,71.0,78.0,74,74,3400000.0,7000.0
25,1173,68.0,78.0,77.0,77.0,73.0,74,77,5000000.0,14000.0
32,1147,73.0,71.0,67.0,73.0,76.0,74,74,3200000.0,9000.0
32,1155,73.0,72.0,68.0,73.0,74.0,74,74,3200000.0,14000.0
25,984,73.0,72.0,67.0,74.0,77.0,74,79,5500000.0,19000.0
34,1092,78.0,73.0,65.0,73.0,74.0,74,74,2300000.0,17000.0
23,1140,74.0,71.0,72.0,73.0,76.0,74,80,5500000.0,3000.0
29,1150,75.0,76.0,60.0,75.0,73.0,74,76,4600000.0,18000.0
33,1132,72.0,76.0,68.0,72.0,74.0,74,74,2800000.0,4000.0
26,1129,73.0,75.0,61.0,71.0,79.0,74,77,4900000.0,38000.0
33,1105,75.0,72.0,64.0,75.0,75.0,74,74,2800000.0,34000.0
29,1138,71.0,72.0,73.0,75.0,76.0,74,74,3800000.0,6000.0
25,1044,68.0,76.0,74.0,77.0,73.0,74,74,4000000.0,5000.0
37,1065,73.0,77.0,45.0,76.0,74.0,74,74,375000.0,13000.0
30,1198,75.0,71.0,67.0,75.0,77.0,74,74,3600000.0,14000.0
29,1235,74.0,71.0,79.0,72.0,75.0,74,74,3800000.0,12000.0
29,1132,73.0,73.0,71.0,74.0,74.0,74,75,4400000.0,30000.0
30,1114,72.0,70.0,72.0,77.0,73.0,74,74,0.0,0.0
30,1093,73.0,74.0,80.0,76.0,71.0,74,74,3600000.0,36000.0
35,1225,75.0,71.0,69.0,73.0,77.0,74,74,1300000.0,6000.0
32,1211,74.0,71.0,67.0,72.0,76.0,74,74,3200000.0,2000.0
29,1158,76.0,70.0,73.0,74.0,74.0,74,74,3800000.0,11000.0
34,1201,72.0,71.0,72.0,70.0,76.0,74,74,2300000.0,36000.0
31,1190,74.0,70.0,76.0,75.0,71.0,74,74,3400000.0,38000.0
27,1198,75.0,71.0,69.0,72.0,77.0,74,77,4700000.0,9000.0
26,1128,75.0,72.0,67.0,73.0,75.0,74,77,4900000.0,7000.0
33,1144,76.0,74.0,67.0,70.0,77.0,74,74,2800000.0,19000.0
27,1154,78.0,69.0,75.0,72.0,77.0,74,76,4600000.0,60000.0
24,1170,74.0,72.0,68.0,69.0,74.0,73,79,4000000.0,1000.0
25,1183,73.0,77.0,69.0,76.0,66.0,73,73,2900000.0,6000.0
26,1090,72.0,70.0,69.0,76.0,72.0,73,75,3300000.0,6000.0
26,1194,79.0,67.0,62.0,67.0,77.0,73,76,3500000.0,9000.0
25,1197,77.0,71.0,68.0,73.0,74.0,73,73,2900000.0,4000.0
33,1168,72.0,77.0,59.0,69.0,73.0,73,73,2000000.0,4000.0
29,1114,77.0,65.0,62.0,75.0,76.0,73,73,2700000.0,11000.0
33,1128,72.0,75.0,69.0,73.0,72.0,73,73,2000000.0,17000.0
26,1146,73.0,76.0,59.0,74.0,72.0,73,75,3300000.0,15000.0
30,1027,78.0,67.0,75.0,67.0,79.0,73,73,2600000.0,14000.0
32,1250,71.0,70.0,76.0,72.0,74.0,73,73,2300000.0,20000.0
23,1059,76.0,71.0,63.0,68.0,75.0,73,81,4400000.0,6000.0
28,1189,73.0,66.0,66.0,74.0,78.0,73,75,3300000.0,45000.0
19,1254,73.0,70.0,69.0,74.0,77.0,73,87,0.0,0.0
30,1145,72.0,72.0,70.0,72.0,75.0,73,73,2600000.0,24000.0
32,1171,74.0,67.0,74.0,72.0,75.0,73,73,2300000.0,7000.0
27,1108,73.0,73.0,62.0,72.0,75.0,73,75,3200000.0,15000.0
31,1336,69.0,71.0,70.0,75.0,76.0,73,73,2400000.0,17000.0
25,1165,74.0,72.0,54.0,72.0,74.0,73,79,3900000.0,25000.0
34,1187,74.0,70.0,69.0,72.0,75.0,73,73,1600000.0,42000.0
30,1201,72.0,71.0,70.0,76.0,72.0,73,73,2600000.0,9000.0
27,1118,73.0,69.0,67.0,73.0,72.0,73,76,3400000.0,17000.0
30,1176,76.0,69.0,73.0,71.0,77.0,73,73,2600000.0,14000.0
30,1301,72.0,74.0,73.0,71.0,75.0,73,73,2600000.0,17000.0
32,1293,73.0,69.0,78.0,70.0,73.0,73,73,2300000.0,41000.0
26,1102,74.0,72.0,71.0,75.0,75.0,73,76,0.0,0.0
23,1181,75.0,71.0,66.0,73.0,76.0,73,81,4400000.0,24000.0
37,1112,74.0,70.0,61.0,73.0,76.0,73,73,270000.0,21000.0
33,1065,74.0,74.0,55.0,76.0,74.0,73,73,2000000.0,32000.0
36,1063,71.0,79.0,65.0,78.0,68.0,73,73,550000.0,8000.0
35,1233,75.0,59.0,72.0,72.0,78.0,73,73,950000.0,17000.0
24,1204,76.0,67.0,58.0,78.0,71.0,73,81,4400000.0,10000.0
23,1123,71.0,72.0,62.0,73.0,74.0,73,79,4000000.0,4000.0
25,1101,73.0,77.0,69.0,76.0,66.0,73,73,2900000.0,12000.0
35,1029,76.0,73.0,62.0,71.0,74.0,73,73,0.0,0.0
27,1088,73.0,74.0,60.0,73.0,74.0,73,75,3200000.0,20000.0
32,1249,77.0,70.0,69.0,70.0,72.0,73,73,2300000.0,17000.0
36,1087,74.0,72.0,67.0,71.0,71.0,73,73,550000.0,4000.0
30,1054,73.0,70.0,71.0,70.0,76.0,73,73,2600000.0,6000.0
24,1082,74.0,71.0,66.0,70.0,76.0,73,78,3900000.0,12000.0
30,1272,75.0,70.0,79.0,69.0,75.0,73,73,2600000.0,16000.0
27,1075,78.0,69.0,56.0,71.0,75.0,73,73,2700000.0,6000.0
32,1131,70.0,73.0,67.0,70.0,73.0,73,73,2300000.0,7000.0
31,1162,66.0,71.0,65.0,76.0,75.0,73,73,2400000.0,17000.0
25,1111,74.0,71.0,67.0,72.0,75.0,73,77,3700000.0,16000.0
33,1128,72.0,75.0,69.0,73.0,72.0,73,73,2000000.0,10000.0
33,1143,72.0,75.0,60.0,75.0,70.0,73,73,2000000.0,9000.0
25,1137,77.0,71.0,68.0,73.0,74.0,73,73,2900000.0,10000.0
29,1114,77.0,65.0,62.0,75.0,76.0,73,73,2700000.0,4000.0
30,1263,73.0,74.0,69.0,71.0,73.0,73,73,2600000.0,11000.0
29,1307,73.0,71.0,74.0,74.0,73.0,73,73,2700000.0,17000.0
29,1163,76.0,65.0,70.0,73.0,79.0,73,73,2700000.0,15000.0
31,1015,68.0,70.0,65.0,77.0,77.0,73,73,0.0,0.0
35,1172,75.0,64.0,64.0,69.0,78.0,73,73,950000.0,14000.0
30,1076,74.0,75.0,73.0,74.0,74.0,73,73,2600000.0,14000.0
28,1188,73.0,69.0,68.0,72.0,74.0,73,75,3300000.0,12000.0
26,1195,74.0,73.0,69.0,73.0,76.0,73,76,3500000.0,36000.0
27,1222,77.0,69.0,68.0,74.0,73.0,73,75,3200000.0,21000.0
34,1190,74.0,71.0,69.0,70.0,78.0,73,73,1600000.0,42000.0
35,1099,74.0,68.0,63.0,71.0,76.0,73,73,950000.0,4000.0
29,1140,75.0,69.0,72.0,68.0,77.0,73,73,2700000.0,25000.0
37,1133,72.0,71.0,75.0,74.0,73.0,73,73,270000.0,5000.0
26,1193,74.0,68.0,78.0,74.0,75.0,73,77,3600000.0,17000.0
31,1210,73.0,73.0,66.0,73.0,71.0,72,72,1900000.0,7000.0
26,1162,74.0,69.0,68.0,69.0,76.0,72,77,2900000.0,26000.0
29,1086,71.0,63.0,77.0,74.0,75.0,72,72,2100000.0,3000.0
33,1102,70.0,72.0,67.0,75.0,70.0,72,72,1600000.0,6000.0
35,1206,73.0,73.0,64.0,71.0,72.0,72,72,725000.0,4000.0
29,1089,71.0,63.0,77.0,74.0,75.0,72,72,2100000.0,16000.0
29,1197,71.0,72.0,71.0,70.0,72.0,72,72,2100000.0,16000.0
21,1069,75.0,70.0,62.0,72.0,71.0,72,82,3900000.0,6000.0
21,1161,72.0,68.0,68.0,72.0,73.0,72,80,3500000.0,14000.0
28,1245,73.0,68.0,78.0,66.0,75.0,72,74,2600000.0,10000.0
28,1205,79.0,70.0,74.0,67.0,75.0,72,74,2600000.0,6000.0
36,1044,64.0,75.0,67.0,79.0,66.0,72,72,425000.0,2000.0
31,1025,70.0,73.0,75.0,70.0,70.0,72,72,1900000.0,7000.0
27,1187,73.0,67.0,69.0,72.0,75.0,72,74,2500000.0,5000.0
27,1034,73.0,72.0,63.0,70.0,74.0,72,72,2100000.0,4000.0
25,1078,75.0,68.0,66.0,74.0,73.0,72,78,3100000.0,4000.0
21,1206,74.0,70.0,75.0,69.0,74.0,72,80,3500000.0,14000.0
24,1144,76.0,60.0,76.0,71.0,75.0,72,77,3000000.0,7000.0
27,1139,75.0,66.0,58.0,72.0,75.0,72,74,2500000.0,13000.0
37,1118,71.0,70.0,66.0,72.0,70.0,72,72,210000.0,17000.0
32,1265,71.0,73.0,59.0,70.0,73.0,72,72,1800000.0,5000.0
30,1206,70.0,71.0,76.0,71.0,71.0,72,72,2000000.0,12000.0
32,1206,73.0,72.0,65.0,71.0,70.0,72,72,1800000.0,7000.0
30,1163,69.0,68.0,71.0,72.0,74.0,72,72,2000000.0,12000.0
24,1077,74.0,74.0,62.0,66.0,75.0,72,76,2900000.0,10000.0
38,1242,71.0,70.0,70.0,70.0,75.0,72,72,210000.0,3000.0
34,1113,72.0,65.0,71.0,73.0,75.0,72,72,1300000.0,5000.0
28,1175,70.0,70.0,71.0,70.0,76.0,72,73,2500000.0,7000.0
36,1117,72.0,68.0,60.0,74.0,74.0,72,72,425000.0,16000.0
22,1172,74.0,75.0,77.0,66.0,70.0,72,82,3800000.0,10000.0
31,1097,72.0,69.0,66.0,70.0,75.0,72,72,1900000.0,19000.0
27,1108,70.0,72.0,66.0,71.0,74.0,72,74,2500000.0,16000.0
33,1181,77.0,72.0,71.0,68.0,70.0,72,72,1600000.0,12000.0
29,1058,72.0,70.0,75.0,71.0,74.0,72,72,2100000.0,14000.0
32,1240,73.0,72.0,74.0,70.0,72.0,72,72,1800000.0,19000.0
34,1131,67.0,76.0,73.0,74.0,67.0,72,72,1300000.0,4000.0
34,923,68.0,70.0,62.0,72.0,74.0,72,72,1300000.0,7000.0
34,1175,73.0,64.0,70.0,69.0,80.0,72,72,1300000.0,8000.0
37,1222,73.0,67.0,71.0,74.0,71.0,72,72,210000.0,4000.0
28,1121,73.0,72.0,64.0,72.0,72.0,72,72,2200000.0,3000.0
31,1145,72.0,68.0,65.0,70.0,74.0,72,72,1900000.0,5000.0
28,1193,72.0,70.0,80.0,68.0,74.0,72,73,2500000.0,32000.0
30,1090,72.0,67.0,74.0,73.0,71.0,72,72,2000000.0,25000.0
28,1193,69.0,65.0,77.0,76.0,74.0,72,73,2500000.0,18000.0
33,1138,71.0,70.0,62.0,70.0,72.0,72,72,0.0,0.0
27,1121,69.0,67.0,79.0,75.0,78.0,72,74,2500000.0,7000.0
31,1154,68.0,71.0,72.0,74.0,75.0,72,72,1900000.0,17000.0
32,1168,73.0,70.0,69.0,71.0,77.0,72,72,1800000.0,30000.0
33,1110,70.0,69.0,68.0,70.0,75.0,72,72,1600000.0,5000.0
29,1223,76.0,67.0,66.0,69.0,75.0,72,72,2100000.0,5000.0
38,1199,67.0,73.0,70.0,75.0,71.0,72,72,210000.0,6000.0
31,1048,75.0,72.0,69.0,67.0,75.0,72,72,1900000.0,5000.0
23,1111,82.0,62.0,54.0,69.0,80.0,72,82,3800000.0,20000.0
37,1050,74.0,71.0,64.0,71.0,73.0,72,72,210000.0,5000.0
34,1091,72.0,69.0,65.0,73.0,74.0,72,72,1300000.0,7000.0
31,1096,73.0,72.0,67.0,72.0,73.0,72,72,1900000.0,1000.0
